wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787750557.647,137.9,10.0,8.88,1.5,0.00,1.0,0.00,1.0,0.00,5.3,22.59,23.171,10.0,6.87,1.8,46.84,1.0,0.00,1.0,0.00,5.3,22.58,4.774
1787750559.706,140.0,10.0,3.62,1.4,0.00,1.0,0.00,0.5,0.00,4.9,36.54,22.541,10.0,3.50,1.6,88.99,1.0,0.00,0.5,0.00,4.8,37.87,4.283
1787750561.469,141.8,10.0,4.31,1.5,0.00,1.0,0.00,1.0,0.00,5.7,14.42,21.873,10.0,3.50,1.9,24.41,1.0,0.00,1.0,0.00,5.7,14.50,3.533
1787750563.351,143.7,10.0,4.44,2.0,117.75,1.0,0.00,1.0,0.00,5.3,28.39,21.353,10.0,5.28,2.2,43.34,1.0,0.00,1.0,0.00,5.3,27.30,2.815
1787750565.355,145.7,10.0,4.09,1.7,8.04,0.5,0.00,1.0,0.00,4.9,32.02,20.995,10.1,7.13,1.6,14.97,1.0,0.00,1.0,0.00,4.9,31.23,1.947
1787750567.122,147.4,10.0,1.82,1.9,11.68,1.0,0.00,1.0,0.00,5.6,12.76,20.245,10.0,6.29,1.9,25.29,0.5,0.00,1.0,0.00,5.7,12.97,1.452
1787750569.072,149.4,10.0,8.65,1.7,46.03,1.0,0.00,0.5,0.00,5.1,20.40,19.445,10.0,5.24,1.5,64.68,1.0,0.00,0.5,0.00,5.1,19.78,0.686
1787750571.071,151.4,10.0,11.34,1.6,7.01,1.0,0.00,0.8,0.00,5.0,26.79,18.798,10.0,12.21,0.5,0.00,1.0,0.00,0.8,0.00,5.0,27.62,0.283
1787750572.852,153.2,10.0,8.38,1.9,6.10,1.0,0.00,1.0,0.00,5.6,11.73,17.995,10.0,5.34,0.5,0.00,1.0,0.00,1.0,0.00,5.6,13.84,0.141
1787750574.873,155.2,10.0,6.89,1.7,48.35,0.9,0.00,0.8,0.00,5.1,25.49,17.237,10.0,8.65,4.4,60.97,1.0,0.00,0.8,0.00,5.1,25.62,0.050
