wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/cmd_vel_nav_sim_hz,panther2/cmd_vel_nav_sim_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/amcl_pose_sim_hz,panther2/amcl_pose_sim_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/plan_sim_hz,panther2/plan_sim_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/local_costmap_sim_hz,panther2/local_costmap_sim_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/velodyne_filtered_sim_hz,panther2/velodyne_filtered_sim_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/cmd_vel_nav_sim_hz,panther3/cmd_vel_nav_sim_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/amcl_pose_sim_hz,panther3/amcl_pose_sim_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/plan_sim_hz,panther3/plan_sim_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/local_costmap_sim_hz,panther3/local_costmap_sim_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/velodyne_filtered_sim_hz,panther3/velodyne_filtered_sim_jitter_ms,panther3/path_length_m
1788357148.995,228.000,262.2,10.00,2.83,19.78,8.62,1.91,157.67,3.13,97.98,0.97,0.00,1.94,23.63,1.00,0.00,1.76,21.75,5.65,191.88,10.56,99.86,9.661,9.99,2.48,19.82,10.47,1.27,46.01,2.50,0.00,0.98,0.00,1.94,17.99,1.00,0.00,1.77,23.55,5.64,191.82,10.56,99.86,6.982,10.00,0.65,19.74,8.70,1.29,32.77,2.50,0.00,0.97,0.00,1.91,18.57,1.00,0.00,1.79,33.99,5.65,192.35,10.56,99.86,7.336
1788357151.075,229.000,264.2,9.99,2.36,19.90,8.91,1.20,1.60,2.78,80.00,0.97,0.00,1.89,20.40,0.83,0.00,1.83,22.23,5.41,204.40,10.56,99.86,9.006,9.93,4.45,19.90,10.24,1.21,5.32,2.50,0.00,0.97,0.00,1.91,17.28,0.83,0.00,1.82,19.14,5.41,204.51,10.56,99.86,6.373,10.00,1.36,19.90,8.82,2.02,146.89,3.33,100.00,0.97,0.00,1.94,22.86,0.83,0.00,1.84,34.56,5.41,205.71,10.56,99.86,6.647
1788357153.140,230.000,266.3,10.01,7.31,20.79,10.73,1.19,18.30,2.50,0.00,0.97,0.00,2.03,4.99,0.84,0.00,1.82,21.25,5.36,206.19,10.56,99.86,8.256,10.06,6.26,20.75,10.64,2.40,10.77,3.33,100.00,0.97,0.00,2.04,10.50,0.83,0.00,1.76,12.36,5.37,206.47,10.56,99.86,5.667,10.00,1.27,20.67,9.30,2.39,5.31,4.44,66.14,0.97,0.00,2.02,8.72,0.83,0.00,1.74,19.14,5.37,206.92,10.56,99.86,5.923
1788357155.073,231.000,268.2,9.99,8.34,19.90,11.12,1.32,8.47,2.50,0.00,0.98,0.00,1.96,16.44,1.00,0.00,1.81,37.57,5.75,188.40,10.56,99.86,7.556,9.99,7.75,20.12,10.43,1.53,155.38,3.33,100.00,0.98,0.00,1.91,21.25,1.00,1.06,1.85,27.39,5.75,188.63,10.56,99.86,4.724,9.99,0.27,19.98,10.20,1.54,159.69,3.75,94.28,0.97,0.00,1.91,21.42,1.00,1.29,1.84,29.03,5.76,187.95,10.56,99.86,5.038
1788357157.218,232.000,270.4,9.92,9.67,20.37,11.21,1.19,11.55,2.50,0.00,0.96,0.00,1.97,16.97,0.83,0.00,1.89,19.96,5.25,212.46,10.56,99.86,6.856,10.02,6.92,20.28,10.64,1.16,6.66,2.50,0.00,0.98,0.00,2.00,34.56,0.84,0.00,1.86,21.75,5.24,209.32,10.56,99.86,4.044,10.00,1.81,20.37,9.51,1.17,7.82,2.50,0.00,0.98,0.00,2.01,22.94,0.83,0.00,1.81,14.97,5.24,212.23,10.56,99.86,4.488
1788357159.214,233.000,272.4,10.07,3.52,20.67,10.74,1.23,16.19,2.50,0.00,0.97,0.00,2.01,7.14,0.83,0.00,1.75,19.87,5.58,199.27,10.56,99.86,6.277,10.01,2.49,20.62,10.61,1.20,9.41,2.50,0.00,0.96,0.00,2.05,13.27,0.83,0.00,1.74,18.57,5.57,198.75,10.56,99.86,3.468,10.00,1.48,20.75,10.78,1.20,7.15,2.50,0.00,0.98,0.00,2.02,23.04,0.83,0.00,1.76,9.80,5.57,198.91,10.56,99.86,3.838
1788357161.219,234.000,274.4,9.99,5.08,20.16,8.43,1.28,38.92,2.50,0.00,0.97,0.00,1.92,24.73,0.83,0.00,1.76,32.71,5.57,195.56,10.56,99.86,5.530,9.99,1.07,19.82,8.95,1.25,33.09,2.50,0.00,0.97,0.00,1.93,21.00,0.99,0.00,1.85,41.61,5.57,195.35,10.56,99.86,2.701,10.00,1.50,20.06,12.01,1.25,32.47,2.50,0.00,0.97,0.00,1.91,17.28,0.83,0.00,1.76,33.99,5.57,195.11,10.56,99.86,3.085
1788357163.408,235.000,276.6,10.02,4.13,21.13,8.96,1.13,15.88,2.50,0.00,0.97,0.00,2.00,37.35,0.83,0.00,1.78,16.76,5.07,219.61,10.56,99.86,4.977,10.18,10.57,20.92,9.95,1.13,29.63,2.50,0.00,0.99,0.00,2.02,40.20,0.83,0.00,1.87,24.94,5.07,219.46,10.56,99.86,1.994,10.00,1.42,21.18,11.63,1.69,231.01,3.13,97.98,0.98,0.00,2.04,33.75,0.83,0.00,1.76,31.72,5.07,219.13,10.56,99.86,2.315
1788357165.341,236.000,278.5,10.01,1.74,20.54,10.30,1.53,209.71,2.78,80.00,0.97,0.00,2.02,30.25,1.00,0.29,1.89,19.96,5.60,194.13,10.56,99.86,4.480,10.01,1.35,20.75,9.76,1.29,28.28,2.50,0.00,0.97,0.00,2.04,34.91,1.00,0.00,1.82,31.16,5.60,193.29,10.56,99.86,1.118,9.99,1.74,20.54,11.45,1.29,25.45,2.78,80.00,0.98,0.00,2.01,38.63,1.00,0.00,1.82,34.92,5.60,193.58,10.56,99.86,1.495
1788357167.509,237.000,280.7,10.02,2.30,20.54,10.89,1.53,209.26,2.78,80.00,0.98,0.00,1.93,14.73,0.83,0.00,1.85,34.56,5.27,210.24,10.56,99.86,3.899,9.99,2.45,20.53,7.94,1.25,4.69,2.50,0.00,0.98,0.00,1.92,14.24,0.83,0.00,1.76,32.06,5.28,211.32,10.56,99.86,0.454,10.00,2.86,20.66,10.69,1.25,7.59,2.50,0.00,0.97,0.00,2.01,44.58,0.83,0.00,1.74,33.94,5.29,211.41,10.56,99.86,0.764
