# started on Wed Sep  2 15:48:04 2026

#           time             counts   unit events
    57.067605987               7.79 Joules power/energy-pkg/                                                     
    57.067605987               3.58 Joules power/energy-cores/                                                   
    57.067605987               0.68 Joules power/energy-psys/                                                    
    58.069527283               7.12 Joules power/energy-pkg/                                                     
    58.069527283               3.08 Joules power/energy-cores/                                                   
    58.069527283               0.68 Joules power/energy-psys/                                                    
    59.070262125               7.70 Joules power/energy-pkg/                                                     
    59.070262125               3.39 Joules power/energy-cores/                                                   
    59.070262125               0.68 Joules power/energy-psys/                                                    
    60.071292694               7.25 Joules power/energy-pkg/                                                     
    60.071292694               3.14 Joules power/energy-cores/                                                   
    60.071292694               0.68 Joules power/energy-psys/                                                    
    61.072611002               7.66 Joules power/energy-pkg/                                                     
    61.072611002               3.46 Joules power/energy-cores/                                                   
    61.072611002               0.68 Joules power/energy-psys/                                                    
    62.073992016               7.63 Joules power/energy-pkg/                                                     
    62.073992016               3.44 Joules power/energy-cores/                                                   
    62.073992016               0.68 Joules power/energy-psys/                                                    
    63.075376663               7.61 Joules power/energy-pkg/                                                     
    63.075376663               3.44 Joules power/energy-cores/                                                   
    63.075376663               0.68 Joules power/energy-psys/                                                    
    64.076719424               7.08 Joules power/energy-pkg/                                                     
    64.076719424               3.07 Joules power/energy-cores/                                                   
    64.076719424               0.68 Joules power/energy-psys/                                                    
    65.078063803               7.38 Joules power/energy-pkg/                                                     
    65.078063803               3.25 Joules power/energy-cores/                                                   
    65.078063803               0.68 Joules power/energy-psys/                                                    
    66.079377586               7.50 Joules power/energy-pkg/                                                     
    66.079377586               3.34 Joules power/energy-cores/                                                   
    66.079377586               0.68 Joules power/energy-psys/                                                    
    67.083447193               7.47 Joules power/energy-pkg/                                                     
    67.083447193               3.27 Joules power/energy-cores/                                                   
    67.083447193               0.68 Joules power/energy-psys/                                                    
    68.085554622               7.73 Joules power/energy-pkg/                                                     
    68.085554622               3.57 Joules power/energy-cores/                                                   
    68.085554622               0.68 Joules power/energy-psys/                                                    
    69.087546023               7.35 Joules power/energy-pkg/                                                     
    69.087546023               3.23 Joules power/energy-cores/                                                   
    69.087546023               0.68 Joules power/energy-psys/                                                    
    70.088276257               7.70 Joules power/energy-pkg/                                                     
    70.088276257               3.35 Joules power/energy-cores/                                                   
    70.088276257               0.68 Joules power/energy-psys/                                                    
    71.089549676               7.45 Joules power/energy-pkg/                                                     
    71.089549676               3.26 Joules power/energy-cores/                                                   
    71.089549676               0.68 Joules power/energy-psys/                                                    
    72.091026217               7.46 Joules power/energy-pkg/                                                     
    72.091026217               3.33 Joules power/energy-cores/                                                   
    72.091026217               0.68 Joules power/energy-psys/                                                    
    73.092482356               7.74 Joules power/energy-pkg/                                                     
    73.092482356               3.48 Joules power/energy-cores/                                                   
    73.092482356               0.68 Joules power/energy-psys/                                                    
    74.093859323               7.70 Joules power/energy-pkg/                                                     
    74.093859323               3.54 Joules power/energy-cores/                                                   
    74.093859323               0.68 Joules power/energy-psys/                                                    
    75.095123989               7.21 Joules power/energy-pkg/                                                     
    75.095123989               3.07 Joules power/energy-cores/                                                   
    75.095123989               0.68 Joules power/energy-psys/                                                    
    76.096255580               7.18 Joules power/energy-pkg/                                                     
    76.096255580               3.13 Joules power/energy-cores/                                                   
    76.096255580               0.68 Joules power/energy-psys/                                                    
    77.097566490               7.69 Joules power/energy-pkg/                                                     
    77.097566490               3.48 Joules power/energy-cores/                                                   
    77.097566490               0.68 Joules power/energy-psys/                                                    
    78.098908303               7.69 Joules power/energy-pkg/                                                     
    78.098908303               3.43 Joules power/energy-cores/                                                   
    78.098908303               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
    79.100208300               7.68 Joules power/energy-pkg/                                                     
    79.100208300               3.51 Joules power/energy-cores/                                                   
    79.100208300               0.68 Joules power/energy-psys/                                                    
    80.101724982               7.50 Joules power/energy-pkg/                                                     
    80.101724982               3.23 Joules power/energy-cores/                                                   
    80.101724982               0.67 Joules power/energy-psys/                                                    
    81.102256078               7.33 Joules power/energy-pkg/                                                     
    81.102256078               3.23 Joules power/energy-cores/                                                   
    81.102256078               0.68 Joules power/energy-psys/                                                    
    82.103649228               7.31 Joules power/energy-pkg/                                                     
    82.103649228               3.26 Joules power/energy-cores/                                                   
    82.103649228               0.68 Joules power/energy-psys/                                                    
    83.105013825               7.81 Joules power/energy-pkg/                                                     
    83.105013825               3.56 Joules power/energy-cores/                                                   
    83.105013825               0.68 Joules power/energy-psys/                                                    
    84.106282974               7.44 Joules power/energy-pkg/                                                     
    84.106282974               3.28 Joules power/energy-cores/                                                   
    84.106282974               0.68 Joules power/energy-psys/                                                    
    85.107644436               7.78 Joules power/energy-pkg/                                                     
    85.107644436               3.52 Joules power/energy-cores/                                                   
    85.107644436               0.68 Joules power/energy-psys/                                                    
    86.108992783               7.34 Joules power/energy-pkg/                                                     
    86.108992783               3.22 Joules power/energy-cores/                                                   
    86.108992783               0.68 Joules power/energy-psys/                                                    
    87.110426004               7.52 Joules power/energy-pkg/                                                     
    87.110426004               3.35 Joules power/energy-cores/                                                   
    87.110426004               0.68 Joules power/energy-psys/                                                    
    88.111870569               7.36 Joules power/energy-pkg/                                                     
    88.111870569               3.33 Joules power/energy-cores/                                                   
    88.111870569               0.68 Joules power/energy-psys/                                                    
    89.113398864               7.71 Joules power/energy-pkg/                                                     
    89.113398864               3.48 Joules power/energy-cores/                                                   
    89.113398864               0.68 Joules power/energy-psys/                                                    
    90.114727659               7.83 Joules power/energy-pkg/                                                     
    90.114727659               3.61 Joules power/energy-cores/                                                   
    90.114727659               0.68 Joules power/energy-psys/                                                    
    91.115296618               7.32 Joules power/energy-pkg/                                                     
    91.115296618               3.20 Joules power/energy-cores/                                                   
    91.115296618               0.68 Joules power/energy-psys/                                                    
    92.116590729               7.43 Joules power/energy-pkg/                                                     
    92.116590729               3.38 Joules power/energy-cores/                                                   
    92.116590729               0.68 Joules power/energy-psys/                                                    
    93.118534778               7.71 Joules power/energy-pkg/                                                     
    93.118534778               3.25 Joules power/energy-cores/                                                   
    93.118534778               0.68 Joules power/energy-psys/                                                    
    94.119876205               7.76 Joules power/energy-pkg/                                                     
    94.119876205               3.46 Joules power/energy-cores/                                                   
    94.119876205               0.68 Joules power/energy-psys/                                                    
    95.121138708               7.48 Joules power/energy-pkg/                                                     
    95.121138708               3.30 Joules power/energy-cores/                                                   
    95.121138708               0.68 Joules power/energy-psys/                                                    
    96.122523283               7.55 Joules power/energy-pkg/                                                     
    96.122523283               3.41 Joules power/energy-cores/                                                   
    96.122523283               0.68 Joules power/energy-psys/                                                    
    97.123251561               7.49 Joules power/energy-pkg/                                                     
    97.123251561               3.22 Joules power/energy-cores/                                                   
    97.123251561               0.68 Joules power/energy-psys/                                                    
    98.124606792               7.41 Joules power/energy-pkg/                                                     
    98.124606792               3.29 Joules power/energy-cores/                                                   
    98.124606792               0.68 Joules power/energy-psys/                                                    
    99.125911794               7.37 Joules power/energy-pkg/                                                     
    99.125911794               3.21 Joules power/energy-cores/                                                   
    99.125911794               0.68 Joules power/energy-psys/                                                    
   100.126289019               7.76 Joules power/energy-pkg/                                                     
   100.126289019               3.48 Joules power/energy-cores/                                                   
   100.126289019               0.68 Joules power/energy-psys/                                                    
   101.127290837               7.67 Joules power/energy-pkg/                                                     
   101.127290837               3.36 Joules power/energy-cores/                                                   
   101.127290837               0.68 Joules power/energy-psys/                                                    
   102.128669016               7.22 Joules power/energy-pkg/                                                     
   102.128669016               3.13 Joules power/energy-cores/                                                   
   102.128669016               0.68 Joules power/energy-psys/                                                    
   103.129363630               7.90 Joules power/energy-pkg/                                                     
   103.129363630               3.58 Joules power/energy-cores/                                                   
   103.129363630               0.68 Joules power/energy-psys/                                                    
   104.130726046               7.14 Joules power/energy-pkg/                                                     
   104.130726046               3.11 Joules power/energy-cores/                                                   
   104.130726046               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
   105.132249566               7.64 Joules power/energy-pkg/                                                     
   105.132249566               3.43 Joules power/energy-cores/                                                   
   105.132249566               0.68 Joules power/energy-psys/                                                    
   106.133546645               7.37 Joules power/energy-pkg/                                                     
   106.133546645               3.26 Joules power/energy-cores/                                                   
   106.133546645               0.68 Joules power/energy-psys/                                                    
   107.135297675               7.95 Joules power/energy-pkg/                                                     
   107.135297675               3.59 Joules power/energy-cores/                                                   
   107.135297675               0.68 Joules power/energy-psys/                                                    
   108.136281186               7.41 Joules power/energy-pkg/                                                     
   108.136281186               3.30 Joules power/energy-cores/                                                   
