wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m
1787749810.013,90.1,10.0,0.68,2.8,18.50,1.0,0.00,1.4,99.96,8.3,11.66,13.547
1787749811.239,91.4,10.0,0.65,2.7,17.66,1.0,0.00,1.4,100.08,8.3,11.18,12.300
1787749812.468,92.6,10.0,0.51,3.4,84.20,1.0,0.00,1.4,100.67,8.1,19.61,11.650
1787749813.639,93.8,10.0,0.56,3.7,52.49,1.0,0.00,1.7,0.71,8.5,1.17,10.995
1787749814.858,95.0,10.0,0.74,2.7,16.63,1.0,0.00,1.7,0.76,8.3,10.18,10.385
1787749816.072,96.2,10.0,0.81,2.7,16.19,1.0,0.00,1.4,98.47,8.2,10.04,9.805
1787749817.340,97.5,10.0,0.69,2.6,22.51,0.5,0.00,1.3,0.18,7.9,18.27,9.238
1787749818.523,98.6,10.0,0.76,2.5,47.60,1.0,0.00,1.7,0.18,8.2,15.17,8.238
1787749819.705,99.8,10.0,0.61,2.8,1.44,1.0,0.00,1.7,0.63,8.5,1.53,7.717
1787749820.925,101.0,10.0,0.59,2.7,13.49,1.0,0.00,1.4,100.87,8.3,8.29,7.173
1787749822.176,102.3,10.0,0.87,2.7,12.76,1.0,0.00,1.4,100.59,8.1,10.81,6.676
1787749823.411,103.5,10.0,0.69,2.7,17.49,1.0,0.00,1.2,0.47,8.1,11.95,6.176
1787749824.601,104.7,10.0,0.67,2.8,2.39,1.0,0.00,1.7,0.68,8.4,1.66,4.941
1787749825.819,105.9,10.0,1.06,2.8,10.95,1.0,0.00,1.4,99.74,8.3,6.47,4.323
1787749827.063,107.2,10.0,1.25,3.1,52.11,1.0,0.00,1.4,100.06,8.2,10.06,3.726
1787749828.318,108.4,10.0,0.86,3.7,44.34,1.0,0.00,1.3,0.00,7.9,17.75,3.149
1787749829.511,109.6,10.0,0.63,4.1,7.43,1.0,0.00,1.4,98.98,8.3,9.22,2.398
1787749830.746,110.9,10.0,0.51,2.9,53.50,0.5,0.00,1.2,0.62,8.2,10.14,1.707
1787749831.957,112.1,10.0,1.08,2.5,57.00,1.0,0.00,1.2,0.00,8.1,10.26,0.424
1787749833.228,113.3,10.0,1.41,1.6,129.37,1.0,0.00,1.3,1.43,8.0,10.08,0.191
1787749834.455,114.6,10.0,0.99,1.1,234.24,1.0,0.00,1.4,99.85,8.0,11.41,0.071
1787749835.661,115.8,10.0,0.58,6.6,52.67,1.0,0.00,1.4,99.97,8.3,2.08,0.050
1787749836.904,117.0,10.0,0.96,5.8,65.35,0.5,0.00,1.3,5.81,8.1,12.50,0.071
1787749838.182,118.3,10.7,22.29,3.4,70.80,1.3,0.00,1.3,0.00,8.0,13.03,23.994
1787749839.441,119.6,10.7,22.79,3.7,45.66,1.0,0.00,1.2,0.40,8.0,17.58,23.948
1787749840.652,120.8,10.0,0.43,2.7,103.09,1.0,0.00,1.3,0.00,8.1,7.65,23.594
1787749841.891,122.0,10.0,3.24,2.0,10.67,1.0,0.00,1.2,1.30,8.1,13.06,22.478
1787749843.138,123.2,10.0,0.21,2.0,9.35,1.0,0.00,1.3,0.00,8.0,15.83,21.983
1787749844.366,124.5,10.0,0.30,2.5,61.46,1.0,0.00,1.2,0.99,8.0,9.87,21.553
1787749845.614,125.7,10.0,0.26,2.9,52.64,1.0,0.00,1.3,1.20,8.1,9.36,21.114
1787749846.861,127.0,10.0,2.98,2.7,14.19,1.0,0.00,1.3,0.00,8.1,7.71,20.548
1787749848.094,128.2,10.0,0.30,2.7,14.87,1.0,0.00,1.3,0.70,8.0,7.57,19.362
1787749849.395,129.5,10.0,0.42,2.6,17.32,1.0,0.00,1.2,0.00,7.8,19.32,18.856
1787749850.644,130.8,10.0,0.46,2.6,18.38,1.0,0.00,1.2,0.44,7.8,14.52,18.301
1787749851.871,132.0,10.0,0.33,2.7,7.79,1.0,0.00,1.2,0.00,8.1,6.31,17.737
1787749853.121,133.2,10.0,1.18,2.7,5.99,1.0,0.00,1.2,2.15,8.0,7.97,17.187
1787749854.411,134.5,10.0,0.40,2.6,13.96,1.0,0.00,1.3,1.76,7.7,13.23,16.087
1787749855.638,135.7,10.0,0.39,2.7,9.86,1.0,0.00,1.2,0.00,8.0,12.59,15.434
1787749856.908,137.0,10.0,0.77,2.7,15.62,1.0,0.00,1.3,0.58,8.0,12.83,14.884
