wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m
1788342383.300,330.000,247.2,10.00,0.89,13.64,12.88,1.79,9.94,2.50,0.00,0.96,0.00,1.33,14.00,1.25,0.43,1.71,9.98,3.60,19.82,5.00,0.00,6.896
1788342384.648,331.000,248.5,10.00,1.02,13.69,13.05,1.85,7.50,2.50,0.00,0.97,0.00,1.31,4.00,1.25,0.00,1.70,10.50,3.71,1.39,5.00,0.00,6.346
1788342386.003,332.000,249.9,10.00,0.95,13.55,11.84,2.10,116.87,2.78,80.00,0.96,0.00,1.30,14.00,1.25,0.04,1.70,1.89,3.69,1.11,5.00,0.00,5.246
1788342387.367,333.000,251.2,10.00,0.89,13.64,11.88,1.85,5.88,2.78,80.00,0.96,0.00,1.30,16.00,1.25,0.02,1.71,3.77,3.68,4.12,5.00,0.00,4.626
1788342388.753,334.000,252.6,9.99,0.86,13.83,13.81,1.79,6.18,2.50,0.00,0.97,0.00,1.33,0.00,1.25,0.07,1.73,8.22,3.61,7.91,5.00,0.00,4.176
1788342390.126,335.000,254.0,10.00,0.92,13.86,13.66,1.82,7.85,2.50,0.00,0.97,0.00,1.34,4.00,1.25,0.40,1.71,13.06,3.66,3.73,5.00,0.00,3.664
1788342391.478,336.000,255.3,9.99,1.02,13.64,11.16,3.08,111.89,3.75,94.28,0.97,0.00,1.32,10.00,1.25,0.72,1.71,4.99,3.68,3.99,5.00,0.00,2.430
1788342392.849,337.000,256.7,9.99,0.71,13.61,11.43,3.67,6.97,5.00,0.00,0.98,0.00,1.33,2.00,1.25,0.52,1.71,11.31,3.67,4.83,5.00,0.00,1.804
1788342394.241,338.000,258.1,10.02,2.24,13.95,11.47,2.55,140.20,3.89,90.35,0.97,0.00,1.33,2.00,1.25,0.85,1.72,9.98,3.58,6.84,5.00,0.00,1.202
1788342395.602,339.000,259.5,9.99,1.97,13.64,10.83,1.80,17.34,2.78,80.00,0.98,0.00,1.36,6.00,1.25,0.72,1.71,3.27,3.66,4.60,5.00,0.00,0.283
1788342396.958,340.000,260.8,10.00,1.05,13.64,11.21,1.23,0.02,1.87,94.28,0.97,0.00,1.33,18.00,1.25,0.33,1.71,3.27,3.69,1.31,5.00,0.00,0.121
1788342398.337,341.000,262.2,10.01,1.25,13.78,11.30,3.03,107.44,3.33,152.75,0.97,0.00,1.31,4.00,1.25,0.36,1.72,4.99,3.64,4.20,5.00,0.00,0.050
1788342399.743,342.000,263.6,10.00,1.42,13.98,13.03,3.57,17.69,5.00,0.00,0.98,0.00,1.39,18.00,1.25,0.55,1.72,3.77,3.57,17.65,5.00,0.00,0.000
1788342401.119,343.000,265.0,10.57,21.22,14.43,18.95,2.55,130.47,3.89,90.35,1.05,65.98,1.52,46.00,1.25,0.49,1.75,9.80,3.60,17.32,5.00,0.00,23.950
1788342402.483,344.000,266.3,10.00,3.86,14.17,18.05,3.05,109.35,3.75,94.28,0.94,0.00,1.28,2.00,1.25,0.01,1.71,9.98,3.66,1.01,5.00,0.00,23.765
1788342403.873,345.000,267.7,10.00,3.97,13.64,12.36,2.59,138.14,3.75,94.28,0.96,0.00,1.31,16.00,1.25,0.13,1.70,6.53,3.62,3.87,5.00,0.00,23.312
1788342405.270,346.000,269.1,10.00,2.10,13.86,13.27,1.79,5.93,2.50,0.00,0.95,0.00,1.32,12.00,1.25,2.33,1.75,8.22,3.59,13.70,5.00,0.00,22.728
1788342406.648,347.000,270.5,9.99,2.00,14.00,13.23,1.80,8.99,2.50,0.00,0.97,0.00,1.33,18.00,1.25,2.91,1.73,13.20,3.60,13.63,5.00,0.00,21.912
1788342408.028,348.000,271.9,10.01,1.68,13.89,11.88,1.82,2.31,2.50,0.00,0.95,0.00,1.32,10.00,1.25,0.23,1.73,8.22,3.64,2.00,5.00,0.00,21.553
1788342409.424,349.000,273.3,9.99,1.07,13.92,13.27,2.40,132.89,3.12,97.98,0.94,0.00,1.33,2.00,1.25,1.13,1.75,5.66,3.58,4.54,5.00,0.00,21.198
1788342410.843,350.000,274.7,10.01,1.46,14.11,13.52,1.74,26.88,2.78,80.00,0.96,0.00,1.33,26.00,1.25,4.31,1.74,14.24,3.47,20.50,5.00,0.00,20.248
1788342412.224,351.000,276.1,10.01,1.28,13.95,12.17,1.76,32.73,2.50,0.00,0.95,0.00,1.34,20.00,1.25,0.81,1.76,22.94,3.54,22.61,5.00,0.00,19.756
1788342413.625,352.000,277.5,9.99,1.08,13.92,12.39,1.80,2.00,2.50,0.00,0.94,0.00,1.32,8.00,1.25,0.07,1.73,18.57,3.60,3.77,5.00,0.00,19.248
1788342415.011,353.000,278.9,9.99,2.15,13.83,12.60,1.80,9.12,2.50,0.00,0.97,0.00,1.33,14.00,1.24,3.41,1.75,13.60,3.58,4.16,5.00,0.00,18.351
1788342416.424,354.000,280.3,10.01,1.75,13.95,12.55,1.76,15.12,2.50,0.00,0.97,0.00,1.34,8.00,1.25,1.95,1.72,4.99,3.53,13.38,5.00,0.00,17.901
1788342417.817,355.000,281.7,10.01,1.36,14.08,12.77,1.77,17.19,2.50,0.00,0.98,0.00,1.35,16.00,1.25,0.11,1.76,18.86,3.55,15.06,5.00,0.00,17.437
1788342419.216,356.000,283.1,10.01,3.32,13.89,13.55,1.79,2.52,2.50,0.00,0.96,0.00,1.34,16.00,1.25,1.16,1.74,14.97,3.58,3.28,5.00,0.00,16.434
1788342420.612,357.000,284.5,9.99,3.36,13.89,13.33,1.79,13.12,2.50,0.00,0.97,0.00,1.34,16.00,1.25,1.90,1.76,16.97,3.57,4.40,5.00,0.00,15.984
1788342422.044,358.000,285.9,10.00,2.92,14.17,13.28,1.75,24.58,2.50,0.00,0.97,0.00,1.34,16.00,1.24,3.22,1.73,16.76,3.53,12.30,5.00,0.00,15.426
1788342423.436,359.000,287.3,9.99,3.29,14.14,13.57,1.74,23.33,2.50,0.00,0.94,0.00,1.38,8.00,1.26,1.53,1.76,33.36,3.52,11.69,5.00,0.00,14.582
1788342424.853,360.000,288.7,9.99,3.57,14.08,14.68,1.78,5.03,2.50,0.00,0.96,0.00,1.33,18.00,1.25,1.55,1.75,18.57,3.56,4.23,5.00,0.00,14.082
1788342426.246,361.000,290.1,9.99,3.46,14.08,14.41,1.78,4.80,2.50,0.00,0.97,0.00,1.34,24.00,1.25,1.72,1.76,13.20,3.57,2.15,5.00,0.00,13.571
1788342427.673,362.000,291.5,10.01,1.69,14.08,13.16,1.75,22.47,2.50,0.00,0.95,0.00,1.34,12.00,1.25,4.43,1.75,18.86,3.53,7.64,5.00,0.00,12.621
1788342429.077,363.000,292.9,10.00,1.56,14.11,13.47,1.75,20.87,2.50,0.00,0.95,0.00,1.36,6.00,1.25,0.26,1.78,13.20,3.52,7.07,5.00,0.00,12.167
1788342430.493,364.000,294.3,10.00,2.66,14.14,13.44,1.77,3.94,2.50,0.00,0.97,0.00,1.34,4.00,1.25,4.86,1.76,10.50,3.53,2.96,5.00,0.00,11.617
1788342431.892,365.000,295.7,10.01,1.87,14.08,13.29,1.77,3.59,2.50,0.00,0.96,0.00,1.39,14.00,1.25,3.73,1.76,10.50,3.56,2.52,5.00,0.00,10.558
1788342433.324,366.000,297.2,10.00,3.27,14.20,11.97,1.76,13.37,2.50,0.00,0.95,0.00,1.34,12.00,1.25,1.41,1.76,4.99,3.52,7.04,5.00,0.00,10.058
1788342434.747,367.000,298.6,10.01,1.66,14.40,13.82,1.75,3.66,2.50,0.00,0.97,0.00,1.37,20.00,1.25,2.94,1.79,9.98,3.49,6.64,5.00,0.00,9.135
1788342436.165,368.000,300.0,10.00,1.22,14.26,15.02,1.77,14.82,2.50,0.00,0.97,0.00,1.36,12.00,1.25,1.19,1.79,19.87,3.50,3.72,5.00,0.00,8.670
1788342437.574,369.000,301.4,9.99,1.61,14.06,13.54,1.78,10.50,2.50,0.00,0.96,0.00,1.39,2.00,1.25,0.26,1.77,16.76,3.55,2.19,5.00,0.00,8.209
1788342439.017,370.000,302.9,10.00,1.36,14.34,13.87,1.74,17.03,2.50,0.00,0.96,0.00,1.36,10.00,1.25,0.27,1.78,19.69,3.48,5.95,5.00,0.00,7.372
1788342440.441,371.000,304.3,10.00,1.17,14.49,14.37,1.73,11.76,2.50,0.00,0.96,0.00,1.37,4.00,1.25,0.58,1.81,14.24,3.48,5.63,5.00,0.00,6.872
1788342441.862,372.000,305.7,10.00,2.46,14.31,13.67,1.78,11.05,2.50,0.00,0.96,0.00,1.39,10.00,1.25,0.56,1.78,16.76,3.52,2.94,5.00,0.00,6.422
1788342443.272,373.000,307.1,10.01,1.08,14.06,14.40,1.78,8.28,2.50,0.00,0.97,0.00,1.34,4.00,1.25,4.27,1.76,12.36,3.54,1.95,5.00,0.00,5.523
1788342444.731,374.000,308.6,10.00,1.06,14.49,13.55,1.69,27.10,2.50,0.00,0.97,0.00,1.39,18.00,1.25,2.28,1.76,12.36,3.39,20.64,5.00,0.00,5.126
1788342446.172,375.000,310.0,10.00,1.18,14.40,14.11,1.71,31.43,2.50,0.00,0.96,0.00,1.40,18.00,1.25,1.87,1.80,28.53,3.42,23.45,5.00,0.00,4.126
1788342447.596,376.000,311.4,10.01,0.96,14.23,13.75,1.74,7.12,2.50,0.00,0.98,0.00,1.37,2.00,1.25,0.65,1.77,16.33,3.50,3.74,5.00,0.00,3.672
1788342449.019,377.000,312.9,9.99,1.95,14.31,12.49,2.11,133.95,2.78,80.00,0.97,0.00,1.37,4.00,1.25,0.35,1.77,16.33,3.52,1.47,5.00,0.00,3.268
1788342450.502,378.000,314.4,9.99,2.93,14.56,12.30,3.42,12.49,4.37,69.99,0.97,0.00,1.42,2.00,1.24,0.64,1.80,22.23,3.41,11.62,5.00,0.00,2.088
1788342451.942,379.000,315.8,10.02,3.61,14.71,13.33,2.26,138.05,3.89,90.35,0.98,0.00,1.43,0.00,1.25,7.35,1.83,21.75,3.40,11.55,5.00,0.00,1.523
1788342453.365,380.000,317.2,10.03,1.90,14.40,14.51,1.74,11.24,2.78,80.00,0.97,0.00,1.39,14.00,1.25,1.03,1.80,11.78,3.50,4.31,5.00,0.00,0.474
1788342454.788,381.000,318.6,10.00,2.33,14.14,14.70,1.41,154.63,2.22,86.60,0.98,0.00,1.37,2.00,1.25,1.07,1.76,14.73,3.52,1.54,5.00,0.00,0.283
1788342456.273,382.000,320.1,10.02,1.01,14.59,15.07,1.16,6.08,1.88,94.28,0.97,0.00,1.38,2.00,1.25,0.46,1.81,23.17,3.40,10.64,5.00,0.00,0.191
1788342457.708,383.000,321.6,10.00,1.16,14.68,15.70,3.53,0.00,1.25,600.00,0.97,0.00,1.43,20.00,1.25,0.45,1.82,22.23,3.43,9.32,5.00,0.00,0.100
1788342459.142,384.000,323.0,10.00,1.40,14.49,14.49,3.50,4.32,5.00,0.00,0.98,0.00,1.40,4.00,1.25,0.03,1.80,17.99,3.48,1.70,5.00,0.00,0.100
1788342460.581,385.000,324.4,10.58,21.31,14.86,18.70,2.89,116.54,4.44,66.14,1.04,72.36,1.54,50.00,1.25,0.19,1.81,6.80,3.46,4.20,5.00,0.00,27.618
