wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/path_length_m,panther4/cmd_vel_nav_hz,panther4/cmd_vel_nav_jitter_ms,panther4/amcl_pose_hz,panther4/amcl_pose_jitter_ms,panther4/plan_hz,panther4/plan_jitter_ms,panther4/local_costmap_hz,panther4/local_costmap_jitter_ms,panther4/velodyne_filtered_hz,panther4/velodyne_filtered_jitter_ms,panther4/path_length_m
1787757990.856,318.4,10.0,46.35,0.5,0.00,0.0,0.00,0.0,0.00,1.8,0.00,12.858,6.5,136.47,0.5,0.00,0.0,0.00,0.5,0.00,1.7,0.00,15.370,9.0,64.31,0.0,0.00,0.0,0.00,0.5,0.00,1.7,0.00,19.695,6.1,162.72,0.5,0.00,0.0,0.00,0.5,0.00,1.7,0.00,22.439
1787757996.701,324.3,10.0,7.81,0.5,0.00,0.0,0.00,0.0,0.00,1.8,54.26,12.858,6.5,149.24,0.5,0.00,0.0,0.00,0.5,0.00,1.8,57.63,15.370,7.9,90.84,0.5,0.00,0.0,0.00,0.5,0.00,1.8,58.63,19.695,7.4,107.18,0.5,0.00,0.0,0.00,0.5,0.00,1.8,60.56,22.439
1787758002.432,330.0,9.3,69.69,0.5,0.00,0.0,0.00,0.0,0.00,1.8,62.19,12.858,9.5,56.08,0.5,0.00,0.0,0.00,0.5,0.00,1.8,66.65,15.370,9.6,53.63,0.5,0.00,0.0,0.00,0.5,0.00,1.9,64.83,19.695,9.7,17.67,0.5,0.00,0.0,0.00,0.0,0.00,1.9,60.83,22.439
1787758008.264,335.8,9.8,33.08,0.5,0.00,0.0,0.00,0.5,0.00,0.5,0.00,12.858,8.4,106.66,0.5,0.00,0.0,0.00,0.5,0.00,0.5,0.00,15.370,8.6,64.54,0.5,0.00,0.0,0.00,0.5,0.00,2.1,76.00,19.695,8.3,96.99,0.5,0.00,1.0,0.00,0.0,0.00,0.5,0.00,13.256
1787758014.208,341.8,10.0,27.68,0.5,0.00,0.0,0.00,0.5,0.00,1.7,18.79,12.858,9.9,17.93,0.8,0.00,0.0,0.00,0.0,0.00,1.6,50.57,15.370,7.4,124.86,0.5,0.00,0.0,0.00,0.0,0.00,1.6,27.58,19.695,6.3,174.66,0.5,0.00,1.0,0.00,0.0,0.00,1.6,23.50,12.413
1787758020.146,347.7,9.0,56.91,0.5,0.00,0.0,0.00,0.5,0.00,1.7,34.13,12.858,10.0,25.11,0.5,0.00,0.0,0.00,0.0,0.00,1.8,21.31,15.370,8.6,93.03,0.5,0.00,0.0,0.00,0.0,0.00,1.8,13.16,19.695,8.9,47.02,0.5,0.00,1.0,0.00,0.5,0.00,1.7,0.00,11.635
1787758026.135,353.7,10.0,35.30,0.5,0.00,1.0,0.00,0.5,0.00,1.9,93.22,2.381,10.5,38.66,0.5,0.00,0.0,0.00,0.0,0.00,1.9,99.67,15.370,7.3,119.68,0.5,0.00,0.0,0.00,0.0,0.00,1.9,94.83,19.695,9.1,69.78,0.5,0.00,1.0,0.00,0.5,0.00,1.9,28.59,10.957
1787758031.631,359.2,5.0,297.20,0.5,0.00,0.5,0.00,0.5,0.00,1.9,17.17,1.680,9.6,46.01,0.5,0.00,0.0,0.00,0.5,0.00,1.9,5.70,15.370,9.9,36.53,0.5,0.00,0.0,0.00,0.5,0.00,1.9,12.74,19.695,9.8,18.97,0.5,0.00,1.0,0.00,0.5,0.00,1.9,4.61,10.413
1787758037.367,364.9,10.0,13.74,0.5,0.00,1.0,0.00,0.5,0.00,1.8,13.90,0.835,6.5,132.28,0.5,0.00,0.0,0.00,0.5,0.00,1.7,7.18,15.370,10.0,18.16,0.5,0.00,0.0,0.00,0.5,0.00,1.7,1.05,19.695,10.0,25.53,0.5,0.00,1.0,0.00,0.5,0.00,1.7,1.90,9.905
1787758043.309,370.9,8.4,87.51,0.5,0.00,1.0,0.00,0.5,0.00,1.8,5.68,0.191,10.0,30.06,0.5,0.00,0.0,0.00,0.5,0.00,1.8,10.34,15.370,10.8,27.10,0.5,0.00,1.0,0.00,0.5,0.00,1.8,6.91,9.567,10.2,19.60,0.5,0.00,1.0,0.00,0.5,0.00,1.7,24.32,9.194
1787758048.809,376.4,9.4,57.22,1.0,0.00,1.0,0.00,0.5,0.00,2.0,5.25,0.000,9.0,42.19,0.5,0.00,0.0,0.00,0.5,0.00,2.1,13.17,15.370,8.9,52.37,0.5,0.00,1.0,0.00,0.5,0.00,2.1,11.45,8.876,9.8,39.73,0.5,0.00,1.0,0.00,0.5,0.00,2.1,11.19,8.515
1787758054.464,382.0,10.0,41.44,0.5,0.00,1.0,0.00,0.0,0.00,1.8,50.39,0.000,10.0,33.18,0.5,0.00,0.0,0.00,0.5,0.00,1.8,49.56,15.370,10.2,38.74,0.5,0.00,0.5,0.00,0.5,0.00,1.8,41.91,8.272,10.0,52.91,0.5,0.00,0.5,0.00,0.5,0.00,1.8,41.76,7.865
1787758060.235,387.8,8.1,97.45,0.5,0.00,0.5,0.00,0.0,0.00,1.8,24.33,0.000,10.0,14.14,0.5,0.00,0.0,0.00,0.5,0.00,1.8,32.09,15.370,9.8,45.22,0.5,0.00,1.0,0.00,0.5,0.00,1.8,34.85,7.522,7.7,95.67,0.5,0.00,1.0,0.00,0.5,0.00,1.8,37.68,7.144
1787758066.194,393.8,8.2,105.92,1.5,102.10,1.0,0.00,0.0,0.00,1.5,98.70,23.691,9.2,55.76,0.5,0.00,1.0,0.00,0.5,0.00,1.4,95.20,4.559,6.6,139.67,0.5,0.00,1.0,0.00,0.0,0.00,1.4,84.31,6.793,10.2,22.98,0.5,0.00,1.0,0.00,0.0,0.00,1.5,94.12,6.393
1787758071.996,399.6,10.0,36.18,0.5,0.00,0.9,0.00,0.5,0.00,0.5,0.00,23.098,6.0,92.28,0.5,0.00,1.0,0.00,0.5,0.00,1.7,59.84,3.911,10.0,27.99,0.5,0.00,1.0,0.00,0.0,0.00,0.5,0.00,6.092,10.4,24.83,0.5,0.00,1.0,0.00,0.0,0.00,0.5,0.00,5.658
1787758077.910,405.5,10.5,41.75,0.5,0.00,1.0,0.00,0.5,0.00,1.7,81.71,22.371,9.9,36.48,0.5,0.00,1.0,0.00,0.5,0.00,1.5,0.00,3.177,10.0,26.42,0.5,0.00,1.0,0.00,0.0,0.00,1.5,0.00,5.442,10.0,36.53,0.5,0.00,1.0,0.00,0.0,0.00,1.5,0.00,5.164
1787758083.861,411.4,9.6,47.82,0.5,0.00,1.0,0.00,0.5,0.00,1.7,75.80,21.752,10.0,12.20,0.5,0.00,1.0,0.00,0.0,0.00,2.2,0.00,2.369,10.3,47.77,0.5,0.00,1.0,0.00,0.5,0.00,2.1,0.00,4.796,10.0,8.64,0.5,0.00,1.0,0.00,0.5,0.00,2.1,0.00,4.584
1787758090.060,417.6,10.1,24.89,0.5,0.00,1.0,0.00,0.5,0.00,0.5,0.00,21.047,9.2,67.81,0.5,0.00,1.0,0.00,0.0,0.00,0.5,0.00,1.556,9.6,64.36,0.5,0.00,1.0,0.00,0.0,0.00,0.5,0.00,4.039,9.0,74.18,0.5,0.00,1.0,0.00,0.5,0.00,0.5,0.00,3.928
1787758096.352,423.9,9.8,32.83,0.5,0.00,0.9,0.00,0.5,0.00,1.7,16.40,20.295,8.5,68.44,0.5,0.00,1.0,0.00,0.0,0.00,1.7,7.89,0.778,9.6,49.49,0.5,0.00,0.9,0.00,0.5,0.00,1.7,0.00,3.359,9.5,56.98,0.0,0.00,1.0,0.00,0.5,0.00,1.7,11.51,3.335
1787758102.658,430.2,10.1,45.70,0.5,0.00,0.9,0.00,0.5,0.00,0.5,0.00,19.550,8.6,82.71,0.5,0.00,1.0,0.00,0.0,0.00,1.6,68.06,0.312,9.1,57.74,0.5,0.00,1.0,0.00,0.5,0.00,1.7,74.58,2.583,9.7,38.40,0.5,0.00,1.0,0.00,0.5,0.00,1.7,78.94,2.559
1787758108.763,436.3,8.8,75.50,0.5,0.00,1.0,0.00,0.5,0.00,1.8,182.31,19.100,10.2,16.12,0.0,0.00,1.0,0.00,0.5,0.00,1.8,165.47,0.121,8.6,74.91,0.5,0.00,1.0,0.00,0.5,0.00,1.8,176.51,1.849,10.0,27.81,0.5,0.00,1.0,0.00,0.5,0.00,1.8,178.19,1.807
1787758115.053,442.6,10.2,15.38,0.5,0.00,1.0,0.00,0.5,0.00,1.8,37.47,18.500,9.8,34.01,1.7,50.22,1.0,0.00,0.5,0.00,1.7,19.72,0.000,5.7,154.76,0.5,0.00,1.0,0.00,0.5,0.00,1.7,16.26,1.028,9.8,52.28,0.5,0.00,0.5,0.00,0.5,0.00,1.7,20.12,0.950
1787758121.479,449.1,10.3,21.93,0.5,0.00,0.0,0.00,0.5,0.00,1.9,92.55,18.185,9.8,33.05,1.0,0.00,1.0,0.00,0.5,0.00,1.9,105.21,0.000,10.0,11.11,0.5,0.00,1.0,0.00,0.5,0.00,2.4,0.00,0.404,6.3,124.48,0.0,0.00,1.0,0.00,0.5,0.00,1.9,103.77,0.212
1787758127.437,455.0,8.1,72.60,0.5,0.00,0.0,0.00,0.5,0.00,1.8,1.41,18.185,10.1,30.58,0.0,0.00,1.1,84.50,0.5,0.00,1.8,3.71,23.950,9.2,68.45,0.0,0.00,0.5,0.00,0.0,0.00,1.8,6.94,0.262,9.6,69.11,0.9,0.00,1.0,0.00,0.5,0.00,1.8,8.82,0.000
1787758133.608,461.2,7.7,98.26,0.5,0.00,0.0,0.00,0.0,0.00,1.6,7.08,18.185,10.0,6.56,0.5,0.00,1.0,0.00,0.5,0.00,1.7,25.22,23.807,10.2,24.66,0.0,0.00,0.5,0.00,0.0,0.00,1.7,26.52,0.171,9.8,32.04,1.7,25.60,1.0,0.00,0.0,0.00,1.7,26.91,0.000
1787758139.974,467.6,9.4,51.97,0.5,0.00,0.0,0.00,0.0,0.00,1.6,99.19,18.185,9.5,47.55,0.5,0.00,0.5,0.00,0.5,0.00,1.7,49.55,23.171,10.6,40.88,1.6,75.74,1.0,0.00,0.0,0.00,1.7,49.52,0.050,10.2,52.53,0.8,0.00,1.0,0.00,0.0,0.00,1.7,52.06,0.050
1787758146.241,473.8,7.7,56.49,0.5,0.00,0.0,0.00,0.0,0.00,1.5,5.90,18.185,8.5,83.59,0.5,0.00,0.9,0.00,0.5,0.00,1.5,12.92,22.400,9.6,37.17,0.8,0.00,1.0,0.00,0.0,0.00,1.5,19.96,0.050,9.6,43.85,0.5,0.00,1.0,0.00,0.0,0.00,1.5,19.71,15.228
1787758152.363,479.9,9.9,36.92,0.5,0.00,0.0,0.00,0.0,0.00,0.5,0.00,18.185,10.1,6.04,0.5,0.00,0.9,0.00,0.0,0.00,0.5,0.00,21.827,10.3,40.62,0.0,0.00,1.6,393.50,0.0,0.00,1.7,45.45,27.618,4.0,235.85,0.5,0.00,0.9,0.00,0.0,0.00,1.7,34.89,14.699
1787758158.919,486.5,6.0,158.50,0.5,0.00,0.0,0.00,0.0,0.00,1.3,57.89,18.185,10.0,28.97,0.5,0.00,0.5,0.00,0.0,0.00,0.5,0.00,21.245,10.0,19.14,0.5,0.00,1.0,0.00,0.0,0.00,1.3,40.96,27.587,8.5,77.90,0.0,0.00,0.9,0.00,0.0,0.00,1.3,40.69,13.989
1787758165.309,492.9,10.5,27.58,0.0,0.00,0.0,0.00,0.0,0.00,1.5,0.00,18.185,10.3,27.54,0.5,0.00,1.0,0.00,0.0,0.00,1.6,0.00,20.448,10.0,28.46,0.5,0.00,0.9,0.00,0.0,0.00,1.5,0.00,26.791,9.8,50.41,0.5,0.00,1.0,0.00,0.0,0.00,1.5,0.00,13.237
1787758171.345,498.9,10.0,18.92,0.5,0.00,0.0,0.00,0.5,0.00,1.5,77.07,18.185,9.9,16.94,0.5,0.00,1.0,0.00,0.0,0.00,1.6,78.88,19.848,9.7,42.17,0.5,0.00,0.9,0.00,0.5,0.00,0.5,0.00,26.095,10.4,38.41,0.5,0.00,1.0,0.00,0.5,0.00,1.6,87.00,12.528
1787758177.395,505.0,9.4,37.91,0.5,0.00,0.0,0.00,0.5,0.00,1.7,2.70,18.185,10.1,11.93,0.5,0.00,0.9,0.00,0.0,0.00,1.7,6.56,19.148,10.0,30.82,0.5,0.00,0.9,0.00,0.5,0.00,1.7,15.23,25.419,10.0,35.12,0.5,0.00,1.0,0.00,0.5,0.00,1.6,10.67,11.733
