wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/path_length_m,panther4/cmd_vel_nav_hz,panther4/cmd_vel_nav_jitter_ms,panther4/amcl_pose_hz,panther4/amcl_pose_jitter_ms,panther4/plan_hz,panther4/plan_jitter_ms,panther4/local_costmap_hz,panther4/local_costmap_jitter_ms,panther4/velodyne_filtered_hz,panther4/velodyne_filtered_jitter_ms,panther4/path_length_m
1787757721.006,48.6,10.0,27.43,0.0,0.00,0.0,0.00,0.5,0.00,1.8,83.55,13.493,10.3,24.65,0.5,0.00,0.9,0.00,0.5,0.00,1.7,69.80,16.786,9.2,55.89,0.5,0.00,1.0,0.00,0.5,0.00,1.7,98.00,16.584,9.7,44.36,0.5,0.00,0.0,0.00,0.5,0.00,1.7,84.61,19.645
1787757725.661,53.2,9.9,35.99,0.5,0.00,0.0,0.00,0.5,0.00,2.1,31.55,13.493,9.5,50.27,0.5,0.00,0.9,0.00,0.5,0.00,2.1,47.03,16.109,10.0,19.90,0.7,0.00,1.0,0.00,0.5,0.00,2.1,33.38,16.017,5.3,131.63,0.5,0.00,0.0,0.00,0.5,0.00,2.1,10.21,19.645
1787757730.922,58.5,10.0,8.35,0.5,0.00,0.0,0.00,0.5,0.00,2.2,73.90,13.493,8.1,95.46,1.1,0.00,1.0,0.00,0.5,0.00,0.5,0.00,15.348,10.0,35.54,0.5,0.00,0.9,0.00,0.0,0.00,0.0,0.00,15.308,8.8,54.18,0.5,0.00,0.0,0.00,0.5,0.00,0.5,0.00,19.645
1787757735.919,63.5,10.5,17.56,0.5,0.00,0.0,0.00,0.5,0.00,1.7,150.79,13.493,9.9,39.40,0.5,0.00,1.0,0.00,0.5,0.00,0.5,0.00,14.698,6.0,190.91,0.5,0.00,0.5,0.00,0.0,0.00,1.7,135.93,14.706,10.0,23.35,0.5,0.00,0.0,0.00,0.5,0.00,1.7,133.45,19.645
1787757740.679,68.3,10.2,51.67,0.7,0.00,0.0,0.00,0.5,0.00,1.9,94.60,13.493,10.5,27.19,0.7,0.00,1.0,0.00,0.0,0.00,2.1,77.77,14.106,10.2,45.24,0.7,0.00,0.0,0.00,0.5,0.00,2.0,71.29,14.706,9.8,47.47,0.5,0.00,0.0,0.00,0.5,0.00,2.0,76.27,19.645
1787757745.800,73.4,8.0,83.80,0.5,0.00,0.0,0.00,0.5,0.00,2.0,89.21,13.493,9.9,46.82,0.5,0.00,0.0,0.00,0.0,0.00,2.0,93.96,13.806,7.0,143.49,0.5,0.00,0.0,0.00,0.5,0.00,2.0,98.72,14.706,10.3,45.06,0.5,0.00,0.0,0.00,0.0,0.00,1.9,112.86,19.645
1787757750.858,78.4,8.4,86.25,0.5,0.00,0.5,0.00,0.0,0.00,1.9,83.11,5.458,10.0,5.96,0.5,0.00,0.0,0.00,0.0,0.00,1.9,89.13,13.806,9.1,77.21,0.5,0.00,0.0,0.00,0.5,0.00,1.9,96.79,14.706,9.6,51.15,0.5,0.00,0.0,0.00,0.0,0.00,1.6,0.00,19.645
1787757755.889,83.5,6.8,154.71,0.5,0.00,0.5,0.00,0.0,0.00,1.7,92.48,4.987,10.3,45.07,0.5,0.00,0.0,0.00,0.0,0.00,1.7,97.95,13.806,10.0,54.24,0.5,0.00,0.0,0.00,0.5,0.00,1.7,99.88,14.706,9.6,36.17,0.5,0.00,0.0,0.00,0.0,0.00,1.7,105.77,19.645
1787757761.453,89.0,10.3,35.59,0.5,0.00,1.0,0.00,0.0,0.00,0.5,0.00,4.146,10.3,29.41,0.5,0.00,0.0,0.00,0.0,0.00,1.7,41.18,13.806,10.0,24.97,0.5,0.00,0.0,0.00,0.5,0.00,1.7,53.41,14.706,6.5,138.54,0.5,0.00,0.0,0.00,0.0,0.00,1.7,30.67,19.645
1787757766.256,93.8,10.0,23.60,0.5,0.00,0.5,0.00,0.5,0.00,2.9,0.00,3.530,10.0,32.44,0.5,0.00,0.0,0.00,0.5,0.00,2.9,0.00,13.806,9.6,39.69,0.5,0.00,0.0,0.00,0.5,0.00,2.9,0.00,14.706,8.7,67.60,0.7,0.00,0.0,0.00,0.5,0.00,2.8,0.00,19.645
