wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787412808.296,66.5,10.0,8.31,2.1,34.21,1.0,0.00,1.2,0.00,6.3,20.02,5.823,9.9,23.34,2.2,32.66,1.0,0.00,1.1,114.68,6.4,18.75,13.236
1787412810.010,68.2,10.0,7.72,2.5,65.07,1.0,0.00,1.0,0.00,5.7,31.28,4.923,10.1,21.99,1.8,14.75,1.0,0.00,1.0,0.00,5.7,31.67,12.494
1787412811.517,69.7,10.0,2.53,2.2,11.24,1.0,0.00,1.3,0.00,6.7,13.17,4.473,9.9,21.92,2.4,63.70,1.0,0.00,1.3,0.00,6.7,11.85,11.944
1787412813.166,71.3,10.0,2.25,2.0,14.99,1.0,0.00,1.0,0.00,6.2,31.66,3.614,10.2,21.38,2.1,74.63,1.0,0.00,1.0,0.00,6.1,31.17,11.095
1787412814.870,73.0,10.0,2.87,2.4,60.15,1.0,0.00,1.0,0.00,6.0,21.00,3.126,10.1,19.94,2.0,51.92,1.0,0.00,1.0,7.03,5.9,23.39,10.273
1787412816.525,74.7,10.0,5.18,2.2,24.46,1.0,0.00,1.0,0.00,5.9,35.64,2.144,9.9,17.60,2.0,122.15,1.0,0.00,1.0,0.00,5.9,39.25,9.832
1787412818.133,76.3,10.0,1.99,2.1,28.94,1.0,0.00,1.2,0.00,6.4,31.16,1.683,10.0,24.82,2.2,63.60,1.0,0.00,1.2,0.00,6.4,30.03,8.900
1787412819.762,77.9,10.0,3.13,2.0,10.13,1.0,0.00,1.2,0.00,5.9,21.92,0.666,10.3,18.56,2.0,39.26,1.0,0.00,1.0,0.00,5.9,19.83,8.568
1787412821.514,79.7,10.0,7.53,1.1,0.00,1.0,0.00,1.0,0.00,5.7,28.51,0.071,9.9,20.52,1.9,22.70,1.0,0.00,1.0,0.00,5.7,31.79,7.867
1787412823.011,81.2,10.0,6.46,4.1,65.71,1.0,0.00,1.3,1.00,6.6,23.75,0.000,10.2,27.92,2.2,15.75,1.0,0.00,1.3,0.00,6.6,15.75,7.167
1787412824.639,82.8,10.0,3.76,5.0,88.29,1.0,0.00,1.1,101.46,6.2,24.50,0.000,10.1,11.28,2.1,50.33,1.0,0.00,1.3,0.00,6.3,30.87,6.746
1787412826.270,84.4,10.2,26.31,2.2,147.25,1.2,177.58,1.2,0.00,6.1,20.07,23.703,10.0,13.99,2.0,29.35,1.0,0.00,1.0,0.00,6.1,25.01,5.834
1787412827.928,86.1,10.0,3.13,3.0,212.31,0.9,0.00,1.0,0.00,6.1,21.52,23.715,9.9,17.48,2.2,103.98,1.0,0.00,1.0,0.00,6.1,25.64,5.441
1787412829.464,87.6,10.0,4.49,3.0,67.46,1.0,0.00,1.2,0.00,6.4,21.99,23.247,10.0,10.50,2.6,45.86,1.0,0.00,1.2,0.00,6.4,22.88,4.413
1787412831.117,89.3,10.0,4.45,1.5,20.19,1.0,0.00,1.0,0.00,6.1,19.29,22.759,10.0,13.58,2.0,18.19,1.0,0.00,1.0,0.00,6.1,21.13,3.977
1787412832.905,91.1,10.0,6.96,1.6,80.08,1.0,0.00,1.0,0.00,5.7,15.17,22.072,9.9,17.74,2.2,87.31,1.0,0.00,1.0,0.00,5.6,17.38,3.220
1787412834.497,92.7,10.0,8.45,2.1,18.73,1.0,0.00,1.0,0.00,6.0,21.33,21.418,9.9,15.27,2.7,52.29,1.0,0.00,1.0,0.00,6.0,20.54,2.108
1787412836.170,94.3,10.0,3.59,2.1,18.95,1.0,0.00,1.1,99.73,6.1,22.09,20.947,10.1,18.64,2.1,12.39,1.0,0.00,1.2,0.00,6.0,23.87,1.593
1787412837.769,95.9,10.0,5.23,2.0,26.92,1.0,0.00,1.0,0.00,6.0,25.77,19.997,10.1,18.18,2.0,20.02,1.0,0.00,1.0,0.00,5.9,30.57,0.636
1787412839.472,97.6,10.0,12.47,2.0,59.69,1.0,0.00,1.0,0.00,6.0,22.94,19.529,10.0,18.67,1.2,163.48,1.0,0.00,1.0,0.00,6.0,24.75,0.191
1787412841.036,99.2,10.0,8.98,2.1,23.65,0.9,0.00,1.2,0.00,6.3,16.07,18.761,10.0,19.50,1.3,26.25,1.0,0.00,1.0,0.00,6.3,11.51,0.121
1787412842.739,100.9,10.0,2.27,2.0,39.55,0.5,0.00,1.1,67.15,6.0,19.67,18.388,9.9,15.08,4.2,89.92,1.0,0.00,1.0,0.00,6.0,19.44,0.050
1787412844.609,102.8,10.0,11.04,1.9,35.41,1.0,0.00,0.5,0.00,5.7,26.79,17.642,10.1,27.45,3.4,92.75,1.0,0.00,1.0,0.00,5.6,34.58,0.071
1787412846.240,104.4,10.0,9.53,1.9,76.06,1.0,0.00,1.0,0.00,5.7,40.91,16.798,10.2,32.80,2.1,26.67,1.5,352.17,0.5,0.00,5.7,37.86,23.994
1787412847.863,106.0,10.1,3.34,2.0,24.31,1.0,0.00,1.0,0.00,6.2,15.77,16.334,10.0,7.61,3.2,26.67,1.0,0.00,1.2,0.00,6.2,14.91,23.948
1787412849.557,107.7,10.0,5.50,2.0,36.65,1.0,0.00,1.0,0.00,5.9,21.56,15.576,10.0,2.43,2.3,140.77,1.0,0.00,1.0,0.00,5.8,27.41,23.383
1787412851.313,109.5,10.0,6.57,1.9,50.45,1.0,0.00,1.0,0.00,5.7,27.42,14.864,10.0,4.92,1.9,38.43,1.0,0.00,1.0,0.00,5.7,39.72,22.541
1787412852.893,111.1,10.0,3.61,2.1,10.43,1.0,0.00,1.0,0.00,6.3,14.40,14.404,10.0,9.05,1.6,6.09,1.0,0.00,1.1,104.07,6.3,13.74,22.195
1787412854.655,112.8,10.0,5.90,1.9,27.61,1.0,0.00,1.0,0.00,5.7,25.40,13.597,10.0,5.81,2.4,104.48,1.0,0.00,1.0,0.00,5.7,31.63,21.553
1787412856.423,114.6,10.0,11.31,1.9,29.96,1.0,0.00,1.0,0.00,5.7,17.94,12.844,10.0,3.75,1.9,34.52,1.0,0.00,1.0,0.00,5.8,27.32,20.895
1787412858.175,116.4,10.0,3.34,1.9,63.56,1.0,0.00,1.0,0.00,5.7,36.76,12.447,10.0,7.30,1.9,41.66,1.0,0.00,1.0,0.00,5.7,31.14,20.545
1787412859.822,118.0,10.0,3.74,2.0,34.22,1.0,0.00,1.0,0.00,6.1,20.80,11.654,10.0,6.69,2.0,31.36,1.0,0.00,1.1,64.88,6.1,21.66,19.798
1787412861.522,119.7,10.0,3.65,2.0,23.84,1.0,0.00,1.0,0.00,5.9,13.30,10.842,10.0,7.49,2.0,22.24,0.5,0.00,1.0,0.00,5.9,18.81,19.398
1787412863.245,121.4,10.0,9.27,1.9,43.62,1.0,0.00,1.0,0.00,5.8,20.09,10.432,10.0,9.55,1.9,45.49,1.0,0.00,1.0,0.00,5.8,22.26,18.548
1787412864.917,123.1,10.0,5.07,2.0,31.15,1.0,0.00,1.0,0.00,6.0,16.62,9.556,10.0,2.82,2.0,26.50,1.0,0.00,1.0,0.00,6.0,16.53,17.687
1787412866.657,124.8,10.0,11.78,1.8,58.33,1.0,0.00,1.0,0.00,5.8,26.54,8.722,10.0,3.89,1.9,57.31,1.0,0.00,1.0,0.00,5.9,36.30,17.237
1787412868.471,126.6,10.0,4.06,1.4,10.77,1.0,0.00,1.0,0.00,5.4,23.02,8.306,10.0,8.12,1.9,7.83,1.0,0.00,1.0,0.00,5.4,32.13,16.484
1787412870.154,128.3,9.9,3.83,2.0,18.04,1.0,0.00,1.0,0.00,5.9,25.14,7.667,10.0,4.04,2.0,14.89,1.0,0.00,1.0,0.00,6.0,15.48,15.676
1787412871.775,130.0,10.0,6.44,2.0,6.36,1.0,0.00,1.0,0.00,6.2,18.97,6.817,10.0,1.98,2.0,13.20,1.0,0.00,1.0,0.00,6.1,27.15,15.276
1787412873.483,131.7,10.0,4.19,2.0,16.75,1.0,0.00,1.0,0.00,6.0,27.78,6.467,10.0,3.11,2.1,29.57,1.0,0.00,1.0,0.00,6.1,24.40,14.476
1787412875.289,133.5,10.0,3.91,1.8,41.59,1.0,0.00,1.0,0.00,5.5,18.34,5.696,10.0,10.17,1.8,48.67,1.0,0.00,1.0,0.00,5.5,23.44,13.721
1787412876.958,135.1,10.0,3.59,2.0,13.15,1.0,0.00,1.0,0.00,5.9,18.40,4.834,10.0,9.15,2.0,20.14,1.0,0.00,1.0,0.00,5.9,22.82,13.271
1787412878.739,136.9,10.0,4.46,1.8,1.64,1.0,0.00,1.0,0.00,5.6,21.57,4.448,10.0,1.99,1.8,7.42,1.0,0.00,1.0,0.00,5.6,22.64,12.463
1787412880.488,138.7,10.0,4.07,1.9,32.08,1.0,0.00,1.0,0.00,5.7,26.39,3.715,10.0,4.29,1.9,31.12,1.0,0.00,1.0,0.00,5.7,29.23,11.702
1787412882.180,140.4,10.0,5.31,2.9,16.41,1.0,0.00,1.0,0.00,5.9,10.91,2.726,10.0,3.15,1.9,31.45,1.0,0.00,1.0,0.00,5.9,14.87,11.356
1787412883.838,142.0,10.0,12.08,2.7,68.44,1.0,0.00,1.0,0.00,6.2,9.74,2.169,10.0,3.54,2.0,16.12,1.0,0.00,1.0,0.00,6.2,9.13,10.508
1787412885.585,143.8,10.0,4.62,1.9,27.82,1.0,0.00,1.0,0.00,5.7,21.09,1.202,10.0,4.88,1.9,24.03,1.0,0.00,1.0,0.00,5.7,25.31,9.649
1787412887.366,145.5,10.0,8.22,1.6,122.24,1.0,0.00,1.0,0.00,5.7,23.54,0.404,10.0,6.85,1.9,6.53,0.5,0.00,1.0,0.00,5.6,25.15,9.228
1787412889.018,147.2,10.0,7.18,1.0,0.00,1.0,0.00,1.0,0.00,5.9,12.47,0.191,10.0,2.84,2.0,19.08,1.0,0.00,1.0,0.00,5.9,16.21,8.505
1787412890.772,148.9,10.1,3.80,2.7,11.15,1.0,0.00,1.0,0.00,5.8,20.42,0.121,10.0,2.13,1.8,29.11,1.0,0.00,1.0,0.00,5.8,26.14,7.622
1787412892.566,150.7,10.0,6.75,3.9,96.50,1.0,0.00,1.0,0.00,5.6,19.93,0.071,10.0,2.43,2.0,33.44,1.0,0.00,1.0,0.00,5.7,10.30,6.778
1787412894.293,152.5,10.1,29.98,2.3,67.54,1.0,0.00,1.0,0.00,5.7,18.05,24.040,10.0,7.75,2.0,6.44,1.0,0.00,1.0,0.00,5.7,17.51,6.426
1787412896.095,154.3,10.0,9.35,2.2,127.82,1.0,0.00,1.0,0.00,5.5,31.68,23.948,10.0,4.26,1.9,74.95,1.0,0.00,1.0,0.00,5.5,28.52,5.588
