wall_time,sim_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/cmd_vel_nav_sim_hz,panther/cmd_vel_nav_sim_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/amcl_pose_sim_hz,panther/amcl_pose_sim_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/plan_sim_hz,panther/plan_sim_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/local_costmap_sim_hz,panther/local_costmap_sim_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/velodyne_filtered_sim_hz,panther/velodyne_filtered_sim_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/cmd_vel_nav_sim_hz,panther2/cmd_vel_nav_sim_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/amcl_pose_sim_hz,panther2/amcl_pose_sim_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/plan_sim_hz,panther2/plan_sim_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/local_costmap_sim_hz,panther2/local_costmap_sim_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/velodyne_filtered_sim_hz,panther2/velodyne_filtered_sim_jitter_ms,panther2/path_length_m
1788343178.631,257.000,187.9,10.00,0.97,16.73,13.39,1.51,0.77,2.50,0.00,0.96,0.00,1.59,24.07,1.00,0.39,1.66,1.89,6.53,164.30,10.56,99.86,13.541,10.00,0.64,16.73,14.20,1.54,30.84,2.50,0.00,0.96,0.00,1.58,22.23,1.00,4.12,1.67,0.00,6.53,163.44,10.56,99.86,20.077
1788343180.340,258.000,189.6,10.00,1.25,16.98,12.43,1.45,0.69,2.50,0.00,0.96,0.00,1.64,8.22,1.00,20.30,1.70,14.97,6.33,171.70,10.56,99.86,13.053,10.00,2.05,17.01,12.93,1.43,2.05,2.50,0.00,0.96,0.00,1.60,22.86,1.00,0.00,1.71,10.50,6.32,171.28,10.56,99.86,19.227
1788343181.981,259.000,191.3,10.00,1.13,16.73,12.10,1.52,22.76,2.50,0.00,0.97,0.00,1.61,22.86,1.01,8.41,1.68,22.94,6.64,161.15,10.56,99.86,12.166,10.01,0.93,16.70,12.47,1.54,1.93,2.50,0.00,0.98,0.00,1.63,6.53,1.00,0.30,1.68,23.63,6.64,160.84,10.56,99.86,18.827
1788343183.648,260.000,193.0,9.99,1.33,16.53,13.56,1.49,5.65,2.50,0.00,0.95,0.00,1.59,15.43,1.00,0.00,1.64,13.06,6.56,165.63,10.56,99.86,11.276,9.98,2.17,16.53,13.85,1.50,15.97,2.50,0.00,0.95,0.00,1.62,8.64,0.99,0.00,1.64,16.44,6.56,165.59,10.56,99.86,18.032
1788343185.385,261.000,194.7,10.01,1.08,17.15,14.00,1.45,5.51,2.50,0.00,0.96,0.00,1.63,9.98,1.00,1.79,1.72,24.94,6.31,172.24,10.56,99.86,10.902,9.99,1.63,17.03,13.33,1.43,5.74,2.50,0.00,0.97,0.00,1.63,30.35,1.00,4.79,1.71,22.86,6.31,172.64,10.56,99.86,17.240
1788343187.023,262.000,196.3,10.01,2.34,16.87,13.34,1.51,24.57,2.50,0.00,0.97,0.00,1.66,16.44,1.00,0.36,1.72,24.94,6.52,163.85,10.56,99.86,10.174,10.01,2.70,16.91,11.56,1.54,5.24,2.50,0.00,0.96,0.00,1.62,32.22,1.00,0.00,1.72,19.69,6.53,164.16,10.56,99.86,16.840
1788343188.701,263.000,198.0,10.02,1.71,16.63,14.35,1.51,18.56,2.50,0.00,0.96,0.00,1.64,17.99,1.00,0.00,1.65,1.89,6.51,165.12,10.56,99.86,9.750,10.00,1.27,16.63,13.41,1.49,9.99,2.50,0.00,0.97,0.00,1.59,5.66,1.00,0.00,1.66,1.89,6.00,164.93,10.56,99.86,15.984
1788343190.440,264.000,199.7,10.00,2.16,17.14,14.75,2.15,150.70,3.12,97.98,0.97,0.00,1.61,13.20,1.00,0.00,1.70,11.47,6.32,172.71,10.56,99.86,9.209,10.01,0.77,17.14,14.62,1.43,10.19,2.50,0.00,0.96,0.00,1.60,1.89,0.99,0.00,1.69,10.50,6.26,173.94,10.56,99.86,15.577
1788343192.094,265.000,201.4,9.99,2.52,16.84,13.36,2.39,136.84,3.75,94.28,0.97,0.00,1.66,8.64,1.00,2.91,1.70,8.22,6.60,164.61,10.56,99.86,8.596,10.00,2.01,16.84,13.68,1.52,4.02,2.50,0.00,0.97,0.00,1.62,21.00,1.00,9.79,1.70,9.43,6.67,162.74,10.56,99.86,14.758
1788343193.773,266.000,203.1,10.00,1.26,16.67,11.48,1.48,21.22,2.78,80.00,0.96,0.00,1.66,8.22,1.00,2.66,1.67,9.98,6.57,165.46,10.56,99.86,8.182,10.00,2.14,16.63,12.20,1.48,12.42,2.50,0.00,0.96,0.00,1.61,10.50,1.00,1.17,1.67,3.77,6.57,165.15,10.56,99.86,13.927
1788343195.507,267.000,204.8,10.00,1.14,17.10,11.96,1.48,0.15,2.50,0.00,0.97,0.00,1.64,12.36,1.00,0.11,1.71,13.20,6.45,167.47,10.56,99.86,7.384,10.01,1.19,17.10,12.65,1.45,7.11,2.50,0.00,0.97,0.00,1.62,3.27,1.00,0.19,1.70,16.11,6.41,168.95,10.56,99.86,13.477
1788343197.189,268.000,206.5,9.99,2.60,17.03,12.34,1.51,11.76,2.50,0.00,0.97,0.00,1.65,14.73,1.00,0.00,1.73,15.08,6.43,167.78,10.56,99.86,6.655,10.00,2.86,17.10,12.31,1.76,172.39,2.78,80.00,0.98,0.00,1.66,19.87,1.00,0.09,1.73,16.11,6.48,167.72,10.56,99.86,12.586
1788343198.878,269.000,208.2,10.00,2.70,16.94,13.18,1.47,12.05,2.50,0.00,0.97,0.00,1.64,15.43,1.00,5.20,1.70,18.57,6.54,166.22,10.56,99.86,6.273,10.00,3.03,16.91,12.33,2.36,148.69,3.75,94.28,0.97,0.00,1.62,1.89,1.00,0.00,1.70,14.73,6.54,165.68,10.56,99.86,11.582
1788343200.583,270.000,209.9,9.99,1.17,17.12,13.75,1.47,5.15,2.50,0.00,0.96,0.00,1.62,8.22,1.00,0.00,1.69,8.64,6.48,167.47,10.56,99.86,5.519,10.00,0.84,16.77,12.89,1.48,20.92,3.33,100.00,0.96,0.00,1.62,1.89,1.00,0.06,1.68,6.53,6.47,166.91,10.56,99.86,11.182
1788343202.313,271.000,211.6,10.00,0.73,17.28,14.46,1.41,6.59,2.50,0.00,0.97,0.00,1.68,19.87,1.00,0.00,1.70,16.11,6.26,173.85,10.56,99.86,4.810,10.01,2.35,17.31,14.46,1.43,40.23,2.50,0.00,0.97,0.00,1.67,13.20,1.00,0.00,1.71,16.97,6.26,173.18,10.56,99.86,10.382
1788343204.038,272.000,213.3,9.99,0.87,17.49,15.20,1.43,7.79,2.50,0.00,0.97,0.00,1.68,19.87,1.00,0.00,1.75,21.75,6.41,169.93,10.56,99.86,4.315,9.99,1.50,17.49,16.19,1.45,20.44,2.50,0.00,0.97,0.00,1.68,15.43,1.00,0.39,1.76,19.14,6.41,169.91,10.56,99.86,9.583
1788343205.732,273.000,215.0,10.00,1.22,17.14,14.39,1.48,20.61,2.50,0.00,0.96,0.00,1.65,4.99,1.00,0.60,1.73,21.75,6.50,167.43,10.56,99.86,3.478,10.00,1.65,17.14,15.13,1.76,143.47,2.78,80.00,0.97,0.00,1.66,16.97,1.00,0.17,1.72,20.74,6.50,167.08,10.56,99.86,9.083
1788343207.507,274.000,216.8,9.99,3.27,17.28,14.75,1.40,15.97,2.50,0.00,0.98,0.00,1.70,16.11,1.00,0.00,1.72,6.80,6.19,174.98,10.56,99.86,2.570,10.01,3.95,17.28,13.93,1.40,32.10,2.78,80.00,1.02,63.57,1.73,36.71,1.00,0.00,1.73,13.20,6.20,175.42,10.56,99.86,8.333
1788343209.214,275.000,218.5,10.00,3.45,17.35,14.59,1.47,22.77,2.50,0.00,0.98,0.00,1.72,4.99,0.99,0.00,1.73,1.89,6.44,168.94,10.56,99.86,2.086,10.00,3.02,17.38,14.65,2.93,9.69,3.89,90.35,0.97,0.00,1.68,5.66,1.00,0.68,1.76,4.99,6.44,168.74,10.56,99.86,7.245
1788343210.928,276.000,220.2,9.99,5.26,17.17,12.62,1.46,12.65,2.50,0.00,0.97,0.00,1.69,5.66,0.99,0.00,1.72,13.60,6.40,169.93,10.56,99.86,1.118,10.00,8.83,17.17,15.22,1.74,158.58,3.89,90.35,0.97,0.00,1.67,0.00,0.99,0.00,1.71,11.31,6.39,169.10,10.56,99.86,6.795
1788343212.708,277.000,222.0,9.98,1.65,17.35,12.76,1.42,14.97,2.50,0.00,0.98,0.00,1.68,8.64,1.01,5.63,1.73,19.69,6.23,174.44,10.56,99.86,0.404,10.01,3.18,17.45,15.05,1.71,167.07,2.78,80.00,0.96,0.00,1.69,11.31,1.00,6.48,1.74,21.00,6.23,174.41,10.56,99.86,6.032
