# started on Wed Sep  2 11:56:28 2026

#           time             counts   unit events
    62.088058867               6.02 Joules power/energy-pkg/                                                     
    62.088058867               2.18 Joules power/energy-cores/                                                   
    62.088058867               0.68 Joules power/energy-psys/                                                    
    63.089378108               5.88 Joules power/energy-pkg/                                                     
    63.089378108               2.00 Joules power/energy-cores/                                                   
    63.089378108               0.68 Joules power/energy-psys/                                                    
    64.090717151               5.75 Joules power/energy-pkg/                                                     
    64.090717151               1.99 Joules power/energy-cores/                                                   
    64.090717151               0.68 Joules power/energy-psys/                                                    
    65.092230514               5.98 Joules power/energy-pkg/                                                     
    65.092230514               2.06 Joules power/energy-cores/                                                   
    65.092230514               0.68 Joules power/energy-psys/                                                    
    66.093610485               5.79 Joules power/energy-pkg/                                                     
    66.093610485               2.00 Joules power/energy-cores/                                                   
    66.093610485               0.68 Joules power/energy-psys/                                                    
    67.095004731               6.18 Joules power/energy-pkg/                                                     
    67.095004731               2.21 Joules power/energy-cores/                                                   
    67.095004731               0.68 Joules power/energy-psys/                                                    
    68.096383930               5.83 Joules power/energy-pkg/                                                     
    68.096383930               2.06 Joules power/energy-cores/                                                   
    68.096383930               0.68 Joules power/energy-psys/                                                    
    69.097919598               5.93 Joules power/energy-pkg/                                                     
    69.097919598               2.07 Joules power/energy-cores/                                                   
    69.097919598               0.68 Joules power/energy-psys/                                                    
    70.099390194               5.85 Joules power/energy-pkg/                                                     
    70.099390194               2.07 Joules power/energy-cores/                                                   
    70.099390194               0.68 Joules power/energy-psys/                                                    
    71.100913437               6.08 Joules power/energy-pkg/                                                     
    71.100913437               2.20 Joules power/energy-cores/                                                   
    71.100913437               0.68 Joules power/energy-psys/                                                    
    72.102355271               5.94 Joules power/energy-pkg/                                                     
    72.102355271               2.18 Joules power/energy-cores/                                                   
    72.102355271               0.68 Joules power/energy-psys/                                                    
    73.103073608               6.05 Joules power/energy-pkg/                                                     
    73.103073608               2.18 Joules power/energy-cores/                                                   
    73.103073608               0.68 Joules power/energy-psys/                                                    
    74.104074289               5.73 Joules power/energy-pkg/                                                     
    74.104074289               2.04 Joules power/energy-cores/                                                   
    74.104074289               0.68 Joules power/energy-psys/                                                    
    75.105498400               5.64 Joules power/energy-pkg/                                                     
    75.105498400               1.90 Joules power/energy-cores/                                                   
    75.105498400               0.68 Joules power/energy-psys/                                                    
    76.106771735               5.78 Joules power/energy-pkg/                                                     
    76.106771735               2.04 Joules power/energy-cores/                                                   
    76.106771735               0.68 Joules power/energy-psys/                                                    
    77.108039797               5.96 Joules power/energy-pkg/                                                     
    77.108039797               2.11 Joules power/energy-cores/                                                   
    77.108039797               0.68 Joules power/energy-psys/                                                    
    78.109396219               5.92 Joules power/energy-pkg/                                                     
    78.109396219               2.12 Joules power/energy-cores/                                                   
    78.109396219               0.68 Joules power/energy-psys/                                                    
#           time             counts   unit events
    79.110833236               6.13 Joules power/energy-pkg/                                                     
    79.110833236               2.24 Joules power/energy-cores/                                                   
    79.110833236               0.68 Joules power/energy-psys/                                                    
    80.112226004               5.60 Joules power/energy-pkg/                                                     
    80.112226004               1.94 Joules power/energy-cores/                                                   
    80.112226004               0.68 Joules power/energy-psys/                                                    
    81.113608360               6.05 Joules power/energy-pkg/                                                     
    81.113608360               2.04 Joules power/energy-cores/                                                   
    81.113608360               0.68 Joules power/energy-psys/                                                    
    82.114974830               5.84 Joules power/energy-pkg/                                                     
    82.114974830               1.99 Joules power/energy-cores/                                                   
    82.114974830               0.68 Joules power/energy-psys/                                                    
    83.116363850               6.04 Joules power/energy-pkg/                                                     
    83.116363850               2.13 Joules power/energy-cores/                                                   
    83.116363850               0.68 Joules power/energy-psys/                                                    
    84.117719041               5.85 Joules power/energy-pkg/                                                     
    84.117719041               2.06 Joules power/energy-cores/                                                   
    84.117719041               0.68 Joules power/energy-psys/                                                    
    85.119146366               5.98 Joules power/energy-pkg/                                                     
    85.119146366               2.14 Joules power/energy-cores/                                                   
    85.119146366               0.68 Joules power/energy-psys/                                                    
    86.120451959               5.56 Joules power/energy-pkg/                                                     
    86.120451959               1.88 Joules power/energy-cores/                                                   
    86.120451959               0.68 Joules power/energy-psys/                                                    
    87.121767947               6.10 Joules power/energy-pkg/                                                     
    87.121767947               2.16 Joules power/energy-cores/                                                   
    87.121767947               0.68 Joules power/energy-psys/                                                    
    88.123205547               5.86 Joules power/energy-pkg/                                                     
    88.123205547               2.09 Joules power/energy-cores/                                                   
    88.123205547               0.68 Joules power/energy-psys/                                                    
    89.124639677               5.99 Joules power/energy-pkg/                                                     
    89.124639677               2.06 Joules power/energy-cores/                                                   
    89.124639677               0.68 Joules power/energy-psys/                                                    
    90.125909750               6.05 Joules power/energy-pkg/                                                     
    90.125909750               2.18 Joules power/energy-cores/                                                   
    90.125909750               0.68 Joules power/energy-psys/                                                    
    91.127237079               5.90 Joules power/energy-pkg/                                                     
    91.127237079               2.03 Joules power/energy-cores/                                                   
    91.127237079               0.68 Joules power/energy-psys/                                                    
    92.128561644               5.90 Joules power/energy-pkg/                                                     
    92.128561644               2.09 Joules power/energy-cores/                                                   
    92.128561644               0.68 Joules power/energy-psys/                                                    
    93.129948457               5.97 Joules power/energy-pkg/                                                     
    93.129948457               2.07 Joules power/energy-cores/                                                   
    93.129948457               0.68 Joules power/energy-psys/                                                    
    94.131344498               6.07 Joules power/energy-pkg/                                                     
    94.131344498               2.24 Joules power/energy-cores/                                                   
    94.131344498               0.68 Joules power/energy-psys/                                                    
    95.132638458               6.10 Joules power/energy-pkg/                                                     
    95.132638458               2.23 Joules power/energy-cores/                                                   
    95.132638458               0.68 Joules power/energy-psys/                                                    
    96.134008261               5.77 Joules power/energy-pkg/                                                     
    96.134008261               2.06 Joules power/energy-cores/                                                   
    96.134008261               0.68 Joules power/energy-psys/                                                    
    97.135075186               5.48 Joules power/energy-pkg/                                                     
    97.135075186               1.87 Joules power/energy-cores/                                                   
