wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m
1787412007.351,38.3,10.0,1.57,2.7,11.26,1.0,0.00,1.3,0.00,8.0,7.56,12.800
1787412008.624,39.6,10.0,0.46,2.6,7.28,1.0,0.00,1.2,0.01,7.9,11.12,12.296
1787412009.898,40.9,10.0,0.80,3.3,62.38,1.0,0.00,1.3,0.00,7.9,9.52,11.101
1787412011.219,42.2,10.0,1.04,3.5,55.88,1.0,0.00,1.3,0.00,7.6,28.04,10.478
1787412012.481,43.5,10.0,0.72,2.6,13.86,1.0,0.00,1.2,1.34,7.8,27.70,9.938
1787412013.754,44.7,10.0,0.37,2.6,3.00,1.0,0.00,1.2,0.00,7.8,5.59,9.357
1787412015.016,46.0,10.0,0.60,2.6,3.44,1.0,0.00,1.3,0.02,7.9,5.73,8.238
1787412016.322,47.3,10.0,0.61,2.4,51.52,1.0,0.00,1.3,0.00,7.8,8.84,7.817
1787412017.612,48.6,10.0,0.59,2.6,11.89,1.0,0.00,1.2,0.00,7.7,16.43,7.317
1787412018.878,49.9,10.0,0.79,2.6,3.81,1.0,0.00,1.3,1.68,8.0,9.38,6.796
1787412020.164,51.1,10.0,0.97,2.6,17.44,1.0,0.00,1.2,0.00,7.8,13.09,5.746
1787412021.457,52.4,10.0,1.42,2.6,7.21,1.0,0.00,1.3,0.11,7.8,13.36,5.226
1787412022.754,53.7,10.0,1.35,2.9,60.58,1.0,0.00,1.2,0.00,7.5,17.91,4.622
1787412024.030,55.0,10.0,0.76,2.6,3.98,1.0,0.00,1.3,0.00,7.8,17.75,4.127
1787412025.306,56.3,10.0,0.80,2.9,73.15,1.0,0.00,1.3,0.67,7.9,15.23,3.067
1787412026.631,57.6,10.0,0.68,4.0,11.97,1.0,0.00,1.2,0.00,7.4,23.00,2.335
1787412027.925,58.9,10.0,2.43,2.7,64.34,1.0,0.00,1.2,1.71,7.5,20.55,1.697
1787412029.231,60.2,10.0,2.11,2.6,18.31,0.5,0.00,1.3,0.00,7.7,11.30,1.061
1787412030.516,61.5,10.0,0.89,1.8,70.21,1.0,0.00,1.3,0.00,7.8,9.05,0.262
1787412031.794,62.8,10.0,1.29,1.5,135.51,1.0,0.00,1.2,1.06,7.8,9.56,0.121
1787412033.099,64.1,10.0,1.24,2.2,340.73,1.0,0.00,1.3,0.00,7.7,19.90,0.050
1787412034.394,65.4,10.0,0.47,5.5,68.10,1.0,0.00,1.2,0.07,7.7,12.36,0.000
1787412035.664,66.6,10.0,0.70,3.9,9.04,1.0,0.00,1.2,1.29,7.8,6.15,0.050
1787412036.937,67.9,10.7,22.20,3.4,122.13,1.4,332.08,1.2,0.00,7.8,18.60,23.948
1787412038.234,69.2,10.0,3.61,3.9,70.94,1.0,0.00,1.3,2.23,7.8,13.09,23.715
1787412039.547,70.5,10.0,7.23,2.2,73.49,1.0,0.00,1.2,0.00,7.8,16.30,23.223
1787412040.828,71.8,10.0,4.97,1.9,15.42,1.0,0.00,1.3,0.00,7.7,21.64,22.657
1787412042.150,73.1,10.0,5.29,1.9,23.14,1.0,0.00,1.2,1.49,7.6,16.35,21.724
1787412043.479,74.5,10.0,4.78,2.3,44.40,1.0,0.00,1.3,0.00,7.4,18.05,21.348
1787412044.798,75.8,10.0,3.80,2.5,16.92,1.0,0.00,1.2,1.82,7.4,10.57,20.855
1787412046.121,77.1,10.0,3.04,2.5,6.48,1.0,0.00,1.3,2.33,7.6,8.27,20.356
1787412047.471,78.4,10.0,4.25,2.5,13.45,1.0,0.00,1.2,0.00,7.5,11.04,19.463
1787412048.785,79.8,10.0,2.96,2.5,17.42,1.0,0.00,1.2,3.20,7.4,16.53,18.963
1787412050.086,81.1,10.0,4.84,2.5,14.34,1.0,0.00,1.3,3.75,7.6,16.85,18.507
1787412051.410,82.4,10.0,5.48,2.5,2.44,1.0,0.00,1.3,0.00,7.6,7.32,17.445
1787412052.739,83.7,10.0,4.82,2.5,17.71,1.0,0.00,1.3,0.30,7.5,10.16,16.887
1787412054.081,85.1,10.0,4.55,2.5,8.78,1.0,0.00,1.2,3.97,7.5,5.74,16.334
1787412055.391,86.4,10.0,5.39,2.5,16.03,1.0,0.00,1.2,0.00,7.5,10.75,15.734
1787412056.718,87.7,10.0,6.41,2.5,13.43,1.0,0.00,1.3,1.53,7.6,8.16,14.576
1787412058.062,89.0,10.0,7.17,2.5,16.56,1.0,0.00,1.2,2.59,7.5,9.79,14.026
1787412059.354,90.3,10.0,6.65,2.6,8.37,1.0,0.00,1.3,0.00,7.6,15.69,13.471
1787412060.689,91.7,10.0,5.81,2.5,5.36,0.5,0.00,1.3,4.56,7.5,7.68,12.971
1787412062.046,93.0,10.0,7.39,2.5,18.37,1.0,0.00,1.2,0.98,7.4,10.79,11.958
1787412063.342,94.3,10.0,7.51,2.5,19.06,1.0,0.00,1.3,0.00,7.5,12.76,11.451
1787412064.660,95.6,10.0,9.04,2.5,30.48,1.0,0.00,1.3,1.66,7.6,19.38,11.008
1787412065.987,97.0,10.0,5.29,2.5,7.51,1.0,0.00,1.3,0.00,7.6,12.25,9.959
1787412067.339,98.3,10.0,6.62,2.5,9.62,1.0,0.00,1.2,0.00,7.6,10.39,9.399
1787412068.667,99.6,10.0,3.72,2.5,8.85,1.0,0.00,1.3,2.00,7.4,7.76,8.878
1787412070.017,101.0,10.0,4.45,2.5,10.68,1.0,0.00,1.2,3.68,7.4,11.00,7.972
1787412071.341,102.3,10.0,4.51,2.5,7.46,1.0,0.00,1.3,0.00,7.5,12.07,7.526
1787412072.666,103.6,10.0,3.16,2.5,6.20,1.0,0.00,1.3,2.53,7.4,9.23,7.022
1787412073.982,105.0,10.0,2.84,2.5,11.66,1.0,0.00,1.3,0.00,7.6,9.84,6.476
1787412075.347,106.3,10.0,2.64,2.5,11.34,1.0,0.00,1.2,0.00,7.4,14.40,5.542
1787412076.723,107.7,10.0,5.59,3.1,61.50,1.0,0.00,1.2,0.89,7.3,17.07,4.992
1787412078.049,109.0,10.0,5.24,2.7,57.32,1.0,0.00,1.3,3.94,7.4,9.87,4.442
1787412079.382,110.4,10.0,1.42,2.7,62.94,1.0,0.00,1.2,0.00,7.5,15.73,3.400
1787412080.714,111.7,10.0,1.68,3.2,61.68,1.0,0.00,1.2,3.37,7.5,6.81,2.762
1787412082.036,113.0,10.0,5.10,2.9,60.93,1.0,0.00,1.2,4.34,7.5,18.39,2.121
1787412083.417,114.4,10.0,5.62,2.4,15.46,1.0,0.00,1.3,0.00,7.2,8.19,0.886
1787412084.744,115.7,10.0,5.34,2.3,42.30,1.0,0.00,1.2,5.75,7.5,12.61,0.404
1787412086.071,117.0,10.0,3.60,1.3,0.00,1.0,0.00,1.3,4.11,7.6,4.89,0.262
1787412087.440,118.4,10.0,3.24,0.5,0.00,0.5,0.00,1.2,0.00,7.4,13.03,0.171
1787412088.804,119.8,10.0,2.58,5.2,75.51,1.0,0.00,1.2,2.34,7.4,9.40,0.100
1787412090.124,121.1,10.0,2.91,3.7,69.12,1.0,0.00,1.3,0.22,7.5,6.62,0.050
1787412091.467,122.4,10.6,21.84,2.3,143.53,1.0,0.00,1.3,0.00,7.6,4.65,27.640
1787412092.873,123.8,10.0,4.15,3.6,12.79,0.9,0.00,1.3,0.00,7.2,19.29,27.485
1787412094.245,125.2,10.0,4.13,2.4,125.02,1.0,0.00,1.2,1.69,7.2,15.81,27.057
1787412095.601,126.6,10.0,4.20,2.0,52.54,0.9,0.00,1.3,0.00,7.5,10.54,26.539
1787412096.923,127.9,10.0,0.83,2.3,70.41,0.9,0.00,1.3,0.00,7.5,8.22,25.483
1787412098.307,129.3,10.0,0.58,2.0,76.94,0.9,0.00,1.2,0.70,7.3,11.41,25.073
1787412099.668,130.6,10.0,0.81,2.5,10.52,1.0,0.00,1.2,0.42,7.4,11.33,24.660
1787412101.045,132.0,10.0,1.01,2.4,11.59,1.0,0.00,1.3,0.00,7.4,10.79,23.880
1787412102.386,133.4,10.0,0.74,2.5,5.62,0.9,0.00,1.3,0.14,7.4,8.67,23.395
1787412103.746,134.7,10.0,0.81,2.4,15.04,1.0,0.00,1.2,0.07,7.4,12.13,22.862
1787412105.157,136.1,10.0,1.20,2.4,29.50,0.5,0.00,1.2,0.00,7.2,16.59,22.312
1787412106.573,137.5,10.0,1.23,2.4,27.80,1.0,0.00,1.3,0.00,7.2,18.73,21.482
1787412107.910,138.9,10.0,0.95,2.2,65.32,0.9,0.00,1.2,1.08,7.3,17.32,21.083
1787412109.299,140.3,10.0,0.96,2.4,13.32,1.0,0.00,1.2,0.72,7.2,11.97,20.612
1787412110.682,141.7,10.0,1.06,2.4,28.15,1.0,0.00,1.2,0.00,7.1,15.51,19.719
1787412112.054,143.0,10.0,0.96,2.4,27.69,1.0,0.00,1.3,0.00,7.5,15.35,19.188
1787412113.409,144.4,10.0,0.79,2.5,20.97,1.0,0.00,1.3,0.62,7.3,14.46,18.736
1787412114.756,145.7,10.0,0.73,2.5,5.89,1.0,0.00,1.2,0.00,7.4,5.88,17.647
1787412116.198,147.2,10.0,0.95,2.3,27.54,1.0,0.00,1.2,0.00,7.1,12.47,17.207
1787412117.598,148.6,10.0,0.82,2.4,7.74,1.0,0.00,1.3,0.94,7.0,16.42,16.808
1787412118.953,149.9,10.0,1.84,1.8,10.15,1.0,0.00,1.2,0.47,7.3,14.23,16.030
1787412120.314,151.3,10.0,1.96,1.7,88.18,1.0,0.00,1.3,0.00,7.4,14.76,15.744
1787412121.703,152.7,10.0,1.45,1.9,16.96,1.0,0.00,1.2,0.00,7.3,18.26,15.396
1787412123.126,154.1,10.0,2.61,1.9,68.12,1.0,0.00,1.3,0.67,6.8,20.21,14.699
1787412124.450,155.4,10.0,1.47,2.5,15.65,1.0,0.00,1.2,0.43,7.3,24.70,14.159
1787412125.832,156.8,10.0,1.14,2.5,6.76,1.0,0.00,1.2,0.00,7.3,9.76,13.523
1787412127.213,158.2,10.0,1.16,2.4,6.55,1.0,0.00,1.3,0.00,7.1,9.65,12.313
1787412128.674,159.6,10.0,0.73,2.2,61.98,1.0,0.00,1.3,2.07,6.8,33.78,11.818
1787412130.028,161.0,10.0,2.39,2.4,35.52,1.0,0.00,1.2,1.35,7.3,15.83,11.252
1787412131.429,162.4,10.0,0.61,1.9,84.13,1.0,0.00,1.3,0.00,7.1,11.61,10.333
1787412132.815,163.8,10.0,1.19,2.2,54.77,1.0,0.00,1.3,0.00,7.2,13.28,9.974
1787412134.287,165.3,10.0,1.42,2.3,14.86,1.0,0.00,1.3,3.93,6.7,27.80,9.244
1787412135.683,166.7,10.0,0.85,2.3,19.98,1.0,0.00,1.2,0.65,7.0,25.04,8.744
1787412137.082,168.1,10.0,0.73,2.4,10.63,1.0,0.00,1.3,0.00,7.2,18.08,8.174
1787412138.478,169.5,10.0,1.16,2.4,7.11,1.0,0.00,1.3,0.00,7.1,18.79,7.194
1787412139.960,170.9,10.0,0.91,2.3,20.42,1.0,0.00,1.3,0.11,6.8,20.69,6.694
1787412141.339,172.3,10.0,1.03,2.4,11.99,1.0,0.00,1.3,0.08,7.1,13.62,6.215
1787412142.703,173.7,10.0,0.86,2.4,5.59,1.0,0.00,1.3,0.00,7.3,6.89,5.186
1787412144.080,175.1,10.0,1.18,2.2,66.76,1.0,0.00,1.3,0.00,7.3,6.34,4.831
1787412145.530,176.5,10.0,0.75,2.2,24.72,1.0,0.00,1.3,0.14,6.8,21.55,3.967
1787412146.893,177.9,10.0,1.11,2.2,70.36,1.0,0.00,1.2,0.06,7.2,23.91,3.443
1787412148.307,179.3,10.0,0.83,2.4,17.08,1.0,0.00,1.3,0.00,7.1,14.78,2.839
1787412149.712,180.7,10.0,1.24,2.4,13.59,1.0,0.00,1.2,0.00,7.0,14.39,1.621
1787412151.206,182.2,10.0,1.20,2.3,35.87,1.0,0.00,1.2,0.00,6.7,21.45,1.087
1787412152.597,183.6,10.0,0.92,2.1,63.58,1.0,0.00,1.2,0.48,7.0,18.08,0.524
1787412154.037,185.0,10.0,1.02,1.8,391.89,1.0,0.00,1.2,1.05,7.0,11.53,0.000
1787412155.479,186.5,10.0,0.61,6.0,55.52,1.0,0.00,1.3,0.00,7.2,8.54,0.000
1787412156.934,187.9,10.0,0.67,3.9,72.98,1.0,0.00,1.2,0.00,6.7,15.38,0.071
1787412158.326,189.3,10.7,22.58,3.0,69.36,1.4,0.00,1.3,0.04,7.1,13.12,15.340
1787412159.708,190.7,10.0,1.06,3.2,71.08,1.0,0.00,1.2,2.74,7.2,8.95,14.558
1787412161.116,192.1,10.0,0.48,2.0,65.22,1.0,0.00,1.3,0.00,7.0,13.69,14.103
1787412162.572,193.5,10.0,0.48,1.7,10.14,1.0,0.00,1.3,0.00,6.9,15.51,13.606
1787412163.995,195.0,10.0,1.28,2.1,69.67,1.0,0.00,1.3,0.28,7.0,8.16,12.640
1787412165.416,196.4,10.0,1.20,2.3,6.96,1.0,0.00,1.3,1.44,7.0,9.88,12.075
1787412166.829,197.8,10.0,0.78,2.4,11.00,0.5,0.00,1.2,0.42,7.1,9.02,11.530
1787412168.264,199.2,10.0,0.65,2.3,11.50,1.0,0.00,1.2,0.00,6.9,32.89,10.448
1787412169.672,200.6,10.0,1.00,2.4,16.46,1.0,0.00,1.3,0.00,7.0,34.68,9.933
1787412171.109,202.1,10.0,0.79,2.3,15.11,1.0,0.00,1.2,0.12,7.0,12.47,8.781
1787412172.521,203.5,10.0,0.71,2.4,8.34,1.0,0.00,1.3,0.10,7.0,16.27,8.215
1787412173.942,204.9,10.0,1.42,2.2,56.73,1.0,0.00,1.2,0.00,7.0,22.71,7.666
1787412175.358,206.3,10.0,0.52,1.6,58.65,1.0,0.00,1.2,0.00,7.1,21.14,6.948
1787412176.781,207.8,10.0,0.65,2.1,53.24,1.0,0.00,1.3,0.29,7.1,20.06,6.571
