wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m,panther3/cmd_vel_nav_hz,panther3/cmd_vel_nav_jitter_ms,panther3/amcl_pose_hz,panther3/amcl_pose_jitter_ms,panther3/plan_hz,panther3/plan_jitter_ms,panther3/local_costmap_hz,panther3/local_costmap_jitter_ms,panther3/velodyne_filtered_hz,panther3/velodyne_filtered_jitter_ms,panther3/path_length_m
1787757093.671,122.6,10.0,9.39,1.3,0.00,1.0,0.00,0.7,0.00,3.9,35.65,20.426,10.1,18.89,1.3,90.40,0.5,0.00,0.7,0.00,4.0,34.22,0.816,10.0,9.85,1.3,89.30,1.0,0.00,0.7,0.00,4.0,34.24,1.028
1787757096.002,124.9,10.0,14.70,1.5,39.74,1.0,0.00,0.9,0.00,4.3,31.48,19.881,10.0,4.96,0.5,0.00,1.0,0.00,0.8,0.00,4.3,32.80,0.191,10.0,5.85,1.1,0.00,1.0,0.00,0.9,0.00,4.3,32.89,0.474
1787757099.041,127.9,9.9,11.73,1.1,0.00,0.9,0.00,0.6,0.00,2.0,302.76,19.186,10.0,29.61,0.0,0.00,1.0,0.00,0.6,0.00,3.2,48.00,0.100,10.0,10.27,0.5,0.00,1.0,0.00,0.6,0.00,3.2,50.73,0.212
1787757101.252,130.1,10.0,15.36,1.5,6.89,1.0,0.00,0.5,0.00,4.5,30.42,18.603,9.9,7.62,3.9,103.14,1.0,0.00,0.5,0.00,4.5,29.76,0.071,10.0,4.36,1.5,0.00,1.0,0.00,0.5,0.00,4.5,29.27,0.121
1787757104.216,133.1,10.0,13.65,0.9,0.00,1.0,0.00,0.5,0.00,2.9,52.86,17.844,10.0,6.90,1.4,44.49,1.0,0.00,0.5,0.00,2.9,57.37,0.000,10.0,3.87,2.3,201.03,1.0,0.00,0.5,0.00,2.9,52.27,0.121
1787757106.669,135.6,10.0,4.93,1.4,49.03,1.0,0.00,0.5,0.00,4.1,28.61,17.140,10.5,23.73,1.2,89.47,0.9,0.00,0.5,0.00,4.1,30.13,23.994,10.0,5.70,2.1,29.65,1.0,0.00,0.5,0.00,4.1,29.29,0.121
1787757109.133,138.0,10.0,17.94,1.3,0.00,1.0,0.00,0.7,0.00,3.7,37.11,16.546,10.0,9.68,1.8,67.68,0.5,0.00,0.5,0.00,3.6,35.65,23.899,10.4,22.39,3.4,52.44,0.9,0.00,0.7,0.00,3.6,41.38,27.569
1787757112.122,141.0,10.0,13.76,1.2,35.70,1.0,0.00,0.6,0.00,3.7,34.40,15.869,10.0,13.87,1.2,0.00,1.0,0.00,0.6,0.00,3.7,38.94,23.242,10.1,11.31,1.4,124.22,0.9,0.00,0.6,0.00,3.7,35.02,27.223
1787757114.321,143.2,10.0,6.38,1.5,30.44,1.0,0.00,0.5,0.00,4.6,23.54,15.260,10.0,11.55,1.5,69.88,1.0,0.00,0.5,0.00,4.6,23.88,22.488,10.0,2.65,1.5,70.98,0.9,0.00,0.5,0.00,4.6,24.02,26.491
1787757117.391,146.3,10.1,6.04,1.1,0.00,1.0,0.00,0.5,0.00,3.2,32.44,14.547,10.0,9.32,0.8,0.00,1.0,0.00,0.5,0.00,3.2,36.49,21.774,10.0,14.79,1.1,0.00,0.9,0.00,0.5,0.00,3.2,31.91,25.693
1787757119.628,148.5,10.4,16.30,1.5,7.92,1.0,0.00,0.8,0.00,4.5,21.64,13.947,10.0,5.30,1.7,86.19,0.5,0.00,0.8,0.00,4.6,22.37,21.361,10.0,8.82,1.5,64.77,0.9,0.00,0.8,0.00,4.5,22.82,25.223
1787757122.538,151.4,9.9,12.09,1.2,0.00,1.0,0.00,0.5,0.00,2.0,250.49,13.147,10.0,9.38,1.2,0.00,1.0,0.00,0.5,0.00,3.3,51.46,20.648,10.0,19.07,1.1,0.00,1.0,0.00,0.5,0.00,3.3,50.13,24.578
