wall_time,elapsed_s,panther/cmd_vel_nav_hz,panther/cmd_vel_nav_jitter_ms,panther/amcl_pose_hz,panther/amcl_pose_jitter_ms,panther/plan_hz,panther/plan_jitter_ms,panther/local_costmap_hz,panther/local_costmap_jitter_ms,panther/velodyne_filtered_hz,panther/velodyne_filtered_jitter_ms,panther/path_length_m,panther2/cmd_vel_nav_hz,panther2/cmd_vel_nav_jitter_ms,panther2/amcl_pose_hz,panther2/amcl_pose_jitter_ms,panther2/plan_hz,panther2/plan_jitter_ms,panther2/local_costmap_hz,panther2/local_costmap_jitter_ms,panther2/velodyne_filtered_hz,panther2/velodyne_filtered_jitter_ms,panther2/path_length_m
1787410538.051,102.6,10.0,5.94,1.8,48.60,1.0,0.00,1.0,0.00,5.5,20.90,15.675,10.1,7.54,1.8,40.65,1.0,0.00,1.0,0.00,5.5,20.47,21.114
1787410539.962,104.5,10.0,8.43,1.7,77.52,1.0,0.00,0.5,0.00,5.2,27.36,14.974,10.0,8.65,1.8,73.90,1.0,0.00,0.5,0.00,5.3,30.44,20.348
1787410541.752,106.3,10.0,10.36,1.8,27.14,1.0,0.00,1.0,0.00,5.5,16.18,14.554,10.0,11.23,1.9,28.54,1.0,0.00,1.0,0.00,5.5,18.63,19.998
1787410543.509,108.1,10.0,3.87,1.9,34.07,1.0,0.00,1.0,0.00,5.6,19.16,13.809,10.0,4.68,1.8,41.41,1.0,0.00,1.0,0.00,5.6,23.06,19.198
1787410545.484,110.1,10.1,9.95,1.6,28.93,1.0,0.00,0.8,0.00,5.0,24.05,13.084,10.1,7.07,1.6,33.37,1.0,0.00,0.8,0.00,5.1,25.64,18.445
1787410547.304,111.9,10.0,4.59,1.7,2.23,1.0,0.00,1.0,17.57,5.5,24.23,12.358,10.1,5.88,1.7,12.65,1.0,0.00,1.0,0.00,5.5,17.48,17.693
1787410549.054,113.6,10.0,3.35,1.9,33.59,1.0,0.00,1.0,0.00,5.7,16.69,11.854,10.0,6.39,1.9,31.26,1.0,0.00,1.0,0.00,5.7,15.15,17.293
1787410550.975,115.6,10.0,4.24,1.7,24.24,1.0,0.00,1.0,0.00,5.3,15.94,11.045,10.0,5.40,1.8,22.20,1.0,0.00,1.0,0.00,5.3,16.89,16.494
1787410552.761,117.3,10.0,6.21,1.9,23.71,1.0,0.00,1.0,0.00,5.6,13.63,10.276,10.0,6.08,1.8,38.16,1.0,0.00,1.0,0.00,5.6,23.92,15.734
1787410554.477,119.1,10.0,6.58,1.9,14.34,1.0,0.00,1.0,0.00,5.8,9.30,9.473,10.0,9.40,1.9,26.53,1.0,0.00,1.0,0.00,5.7,11.74,14.884
1787410556.259,120.8,10.0,10.06,1.7,91.52,1.0,0.00,1.0,0.00,5.6,15.46,9.014,10.1,11.50,1.9,15.44,1.0,0.00,1.0,0.00,5.7,16.90,14.476
1787410558.187,122.8,10.0,10.61,1.4,0.00,1.0,0.00,1.0,0.00,5.3,14.73,8.403,10.0,8.65,2.0,80.48,1.0,0.00,1.0,0.00,5.2,25.75,13.684
1787410559.959,124.5,10.0,4.71,2.1,59.55,1.0,0.00,1.0,0.00,5.6,16.23,7.717,10.0,7.62,1.9,30.81,1.0,0.00,1.0,0.00,5.7,19.54,12.927
1787410561.787,126.4,10.0,3.11,1.9,13.43,1.0,0.00,1.0,0.00,5.5,14.56,6.946,9.9,5.97,1.9,10.03,1.0,0.00,1.0,0.00,5.5,13.00,12.176
1787410563.628,128.2,10.0,6.71,1.8,19.24,1.0,0.00,1.0,0.00,5.4,15.81,6.234,10.0,8.35,1.8,5.14,1.0,0.00,1.0,0.00,5.4,12.75,11.821
1787410565.411,130.0,10.0,4.54,1.9,31.46,1.0,0.00,1.0,0.00,5.6,25.74,5.934,10.0,6.00,1.8,29.86,1.0,0.00,1.0,0.00,5.5,21.74,11.117
1787410567.347,131.9,10.0,6.57,1.7,20.41,1.0,0.00,1.0,0.00,5.1,16.55,5.172,10.0,10.47,1.7,14.05,1.0,0.00,1.0,0.00,5.1,23.63,10.367
1787410569.231,133.8,10.0,5.61,1.8,20.69,1.0,0.00,1.0,0.00,5.3,22.92,4.467,10.0,10.62,1.8,18.94,1.0,0.00,1.0,0.00,5.3,27.19,9.608
1787410571.038,135.6,10.0,8.61,1.8,8.00,1.0,0.00,1.0,0.00,5.6,29.27,3.747,10.1,10.47,1.8,10.54,1.0,0.00,1.0,0.00,5.5,28.28,8.878
